board	degree	nordegree
travel	34	28.8714053174
EuropeTravel	16	15.1757575758
Japan_Travel	14	11.1785714286
Food	14	11.0544904137
Korea_Travel	7	6.63939393939
Hotel	7	6.63939393939
isLandTravel	5	4.91211550534
NewYork	5	4.91211550534
Aviation	5	4.31843267108
Singapore	3	2.94912060302
WorkanTravel	3	2.89814814815
China_travel	3	2.85410334347
Taoyuan	3	2.53509719222
TaichungBun	3	2.21566776782
LatinAmerica	2	1.99744735163
East_Europe	2	1.99490121096
Malaysia	2	1.98856416773
Spain	2	1.9873015873
Gra-Travels	2	1.98478123018
EatToDie	2	1.97351828499
HsinChuang	2	1.82720373614
cat	2	1.80715935335
EngTalk	1	0.998086734694
India	1	0.997450605481
DivingSport	1	0.997450605481
Portugal	1	0.996180776575
Academy_Art	1	0.995547073791
SanFrancisco	1	0.993020304569
London	1	0.993020304569
Philippines	1	0.991761723701
NorthAmerica	1	0.990506329114
postcrossing	1	0.988005050505
LA	1	0.988005050505
DC	1	0.98738170347
Thailand	1	0.986759142497
Jewelry	1	0.98427672956
love-vegetal	1	0.975685785536
TaichungCont	1	0.97507788162
DSLR	1	0.967243510507
Nantou	1	0.954850518609
ChungLi	1	0.933770883055
SportsShop	1	0.921130076516
home-sale	1	0.882684715172
Hsinchu	1	0.832004253057
Kaohsiung	1	0.781718281718
AllTogether	1	0.725208526413
Tainan	1	0.722196585141
HelpBuy	1	0.699910554562
forsale	1	0.360516010136
Gossiping	1	0.240695170717
