board	degree	nordegree
Salesperson	13	12.7076826983
Fund	3	2.98284625159
Kaohsiung	5	2.4661203908
MobileComm	4	2.05921052632
BabyProducts	4	2.02785876255
YuBeauty	2	1.9873015873
Doctor-Info	2	1.94651741294
TaichungBun	3	1.81624758221
Bank_Service	2	1.81449275362
MacShop	3	1.78043230944
BabyMother	2	1.48693586698
Stock	2	1.29018961253
car	2	1.22600861731
HardwareSale	2	1.20989563201
mobilesales	2	1.18830675778
GreysAnatomy	1	0.996180776575
single	1	0.995547073791
Finance	1	0.977514053716
CFP	1	0.97629444791
ForeignEX	1	0.961893054702
Nurse	1	0.960712093309
AllTogether	2	0.959828273536
LicenseShop	1	0.940504807692
DiabloEX	1	0.940504807692
Windows	1	0.937125748503
Taoyuan	1	0.742057847321
PublicIssue	1	0.693398316349
travel	1	0.688517377915
NBA	2	0.682511993022
HelpBuy	2	0.621278285034
Japan_Travel	1	0.599157733538
sex	1	0.452835648148
Drama-Ticket	1	0.416999733546
movie	1	0.373152122079
forsale	2	0.151156613706
Wanted	1	0.111048038033
Gossiping	2	0.0993871654018
