board	degree	nordegree
narimiya	5	4.98407643312
BBSmovie	2	1.99490121096
Nantou	2	1.90970103722
Beauty	2	1.75055928412
joke	2	1.57286432161
Test	2	1.55104063429
C_Chat	2	1.2212251268
TAKERU	1	0.999361430396
Nao_M	1	0.999361430396
HT_Nishijima	1	0.997450605481
GBF	1	0.996815286624
CHING	1	0.992390615092
Policy	1	0.989879822897
JP_Entertain	1	0.989879822897
electronic	1	0.985516372796
poem	1	0.981191222571
NewAge	1	0.979962429555
TW_Entertain	1	0.978125
politics	1	0.976903870162
Browsers	1	0.973864343497
Catholic	1	0.969640644362
FORMULA1	1	0.964858199753
Gossiping	4	0.962780682867
Celtics	1	0.958358848745
OverWatch	1	0.954850518609
NBA_Film	1	0.946191051995
biker	1	0.883681535855
IA	1	0.878719820326
talk	1	0.845032397408
ask	1	0.811301192328
Kaohsiung	1	0.781718281718
TaichungBun	1	0.738555922605
mobilesales	1	0.723532131299
Hate	1	0.582217261905
WomenTalk	1	0.541897506925
