board	degree	nordegree
NBA	41	13.991495857
MLB	14	8.28668683812
NBA_Film	8	5.30059271804
Tech_Job	6	4.48638318204
Spurs	4	3.44903581267
Rockets	3	2.81137724551
Tennis	3	2.61997767857
marriage	3	2.46845425868
home-sale	3	2.19906323185
Mavericks	2	1.86754176611
WomenTalk	7	1.66818943201
Gossiping	33	1.63988822913
Baseball	9	1.55635359116
Atletico	2	1.54873824839
LoL	5	1.31667507993
car	2	1.22600861731
movie	3	1.11945636624
MAJOR	1	0.998723675814
hardware	1	0.948484848485
juniorhigh	1	0.930993456276
Hornets	2	0.786037167253
Japan_Travel	1	0.599157733538
Beauty	1	0.57137641475
Food	1	0.557733428368
G-S-WARRIORS	1	0.467862481315
joke	1	0.467582910069
Test	1	0.413692836373
Elephants	1	0.116270430906
