board	degree	nordegree
HardwareSale	37	22.3830691921
PC_Shopping	6	4.83771251932
Headphone	5	4.53886310905
ask	6	3.83578431373
Tainan	7	3.22205882353
Test	7	2.89584985461
Food	5	2.78866714184
MacShop	4	2.37390974592
Hearthstone	3	2.22301136364
Gamesale	4	2.0880587058
WWR	2	1.99617346939
StarCraft	2	1.96731615336
Browsers	2	1.90157958688
juniorhigh	2	1.86198691255
ClashRoyale	2	1.84226015303
sky	2	1.79369627507
e-shopping	2	1.69189189189
Steam	2	1.61673553719
LoL	6	1.58001009591
TaichungBun	2	1.21083172147
MobileComm	2	1.02960526316
PttEarnMoney	10	0.995167238967
Japan_Living	1	0.994914176732
ComGame-Plan	1	0.994914176732
Linux	1	0.991133628879
Suit_Style	1	0.990506329114
Sub_DigiLife	1	0.97265382225
VideoCard	1	0.970843672457
Drink	1	0.970843672457
Pedal	1	0.969040247678
guitar	1	0.959534028204
gallantry	1	0.913601868068
Bank_Service	1	0.907246376812
sex	2	0.905671296296
ID_Multi	1	0.905147484095
nb-shopping	1	0.823250920568
Gossiping	16	0.795097323215
creditcard	1	0.777446597119
Boy-Girl	1	0.688820422535
mobilesales	1	0.594153378891
Beauty	1	0.57137641475
Hate	7	0.567881395469
Baseball	3	0.518784530387
WomenTalk	2	0.476625552002
movie	1	0.373152122079
forsale	4	0.302313227411
Wanted	2	0.222096076066
