board	degree	nordegree
RTS	8	7.3431085044
AKB48	4	3.44334433443
HardwareSale	4	2.41979126401
Hearthstone	3	2.22301136364
Gossiping	36	1.78896897723
AllTogether	2	0.959828273536
Warfare	1	0.933214072749
Old-Games	1	0.933214072749
medstudent	1	0.927132701422
CATCH	1	0.916813122437
gallantry	1	0.913601868068
EAseries	1	0.906720741599
WOW	1	0.866555924695
historia	1	0.748445719751
movie	2	0.746304244158
Salary	1	0.736470588235
PlayStation	1	0.719209558824
WomenTalk	2	0.476625552002
FAPL	1	0.307284508148
LoL	1	0.263335015985
C_Chat	1	0.261443367858
Hate	1	0.0811259136385
GambleGhost	1	0.0135650515732
