board	degree	nordegree
Shinhwa	18	18780.0
MBLAQ	7	7668.5
KoreaStar	16	2276.36363636
CNBLUE	7	2018.02631579
JooWon	1	1565.0
Hingis	1	1565.0
JOB-Hunting	7	1420.09259259
EXO	4	521.666666667
Free_box	1	156.5
SongJoongKi	1	104.333333333
China-Drama	3	101.330935252
KoreanPop	6	62.5305216426
TamShui	1	52.1666666667
MAC	2	48.90625
Q_ary	1	43.4722222222
Baseball	14	40.9806279225
Gossiping	20	20.9168671478
Tour-Agency	1	14.3577981651
graduate	1	14.2272727273
Wen-Shan	1	12.0384615385
MakeUp	1	12.0384615385
hairdo	1	10.8680555556
Bank_Service	1	9.78125
EAseries	1	9.72049689441
movie	4	9.52453404336
Chat82gether	2	7.33021077283
KR_Entertain	3	5.73727087576
HatePolitics	3	4.17704626335
iPhone	1	3.93216080402
AllTogether	2	3.69103773585
ask	1	1.77236693092
TaiwanDrama	1	1.28912685338
forsale	3	0.735816529098
