board	degree	nordegree
KoreaDrama	16	2924.37956204
KoreanPop	31	1669.21753607
BTS	10	1242.06349206
BEAST	1	313.0
Gossiping	64	214.188719594
SET	2	208.666666667
GFRIEND	2	169.189189189
MBLAQ	1	156.5
YGFamily	6	142.994923858
China-Drama	3	101.330935252
Golf	1	62.6
JessicaJung	2	52.1666666667
CNBLUE	1	41.1842105263
KR_Entertain	7	31.2362525458
JOB-Hunting	1	28.9814814815
IdolMaster	1	17.9885057471
Hearthstone	2	11.4442413163
TW-history	1	9.60122699387
I.O.I	1	7.74752475248
TWICE	2	7.60631834751
Olympics_ISG	1	7.04954954955
WomenTalk	4	5.00599760096
NBA	3	4.66236345581
Tech_Job	1	2.96401515152
Soccer	1	2.82490974729
movie	2	2.38113351084
Aviation	1	2.20422535211
SEVENTEEN	1	2.13215258856
Railway	1	1.66489361702
LoL	2	1.42987665601
Baseball	2	0.836339345357
Test	1	0.705590622182
HatePolitics	1	0.464116251483
