board	degree	nordegree
Beauty	46	26.2833150785
UniversityTV	21	20.4638854296
Board-Police	20	18.9352692075
GossipPicket	29	16.1053938964
Sub_Strategy	15	14.6261682243
joke	21	9.81924111144
Headphone	10	9.0777262181
Sub_DigiLife	8	7.781230578
talk	24	5.77846153846
ID_Multi	6	5.43088490457
Gossiping	102	5.06874543549
WomenTalk	21	5.00456829603
MenTalk	13	4.13012586277
L_LifeJob	4	3.95951929159
Sub_DigiTech	4	3.95701643489
Paramore	4	3.95701643489
L_LifeInfo	4	3.94206549118
chicken	4	3.91005621487
SYSOP	4	3.87856257745
haiku	4	3.76881396749
Salary	5	3.68235294118
ID_Problem	4	3.49720670391
creditcard	4	3.10978638847
L_ShoppingMa	2	1.98856416773
Pisces	2	1.91086691087
LoL	1	0.263335015985
GambleGhost	4	0.0542602062928
