Name	Degree	NorDegree
foreigner	1	0.00638977635783
Cram_Talk	1	0.00127795527157
TOEFL_iBT	4	0.0370607028754
MenTalk	1	2.14760383387
learnyf	2	0.230670926518
Boy-Girl	1	0.451757188498
GEPT	1	0.000638977635783
book	1	0.10607028754
TW-language	1	0.0594249201278
ChungLi	1	0.131629392971
unemployed	1	0.0300319488818
GMAT	1	0.00894568690096
Refresh	1	0.218530351438
TOEIC	1	0.0447284345048
GRE	1	0.00958466453674
IELTS	2	0.0287539936102
Eng-Class	2	0.109265175719
CareerPlan	2	0.0313099041534
Deutsch	2	0.0172523961661
AndroidDev	1	0.00958466453674
Soft_Job	1	0.0453674121406
Italiano	1	0.00319488817891
Espannol	3	0.00638977635783
NewActivity	2	0.480511182109
Francais	3	0.0172523961661
