Name	Degree	NorDegree
OverWatch	1	0.135463258786
Liverpool	2	0.00638977635783
Rugby	1	0.000638977635783
GambleGhost	59	72.7188498403
Chelsea	2	0.00702875399361
Schalke04	4	0.00255591054313
Boy-Girl	1	0.451757188498
LoL	1	2.79744408946
CourtBasebal	16	0.0600638977636
FAPL	2	2.25431309904
SummonsBoard	4	0.0741214057508
cksh77th01	9	0.0115015974441
I.O.I	1	0.129073482428
movie	3	1.67987220447
FCBayern	2	0.123961661342
NBA	4	1.9303514377
forsale	1	12.2313099042
Hate	16	11.3265175719
PttEarnMoney	18	9.04856230032
talk	3	3.15335463259
