board	degree	nordegree
Cancer	10	8.65118850193
Zastrology	9	7.44450317125
Aries	4	3.80547112462
Scorpio	4	3.75524895021
Virgo	3	2.87155963303
Pisces	3	2.8663003663
Libra	3	2.84718010916
Capricornus	3	2.84373107208
Sagittarius	3	2.77810650888
Taurus	2	1.96484620213
Broken-heart	2	1.94651741294
Gemini	2	1.94289261328
Aquarius	1	0.956601466993
sex	2	0.905671296296
Sad	1	0.844120819849
nb-shopping	1	0.823250920568
marriage	1	0.822818086225
Diary	1	0.5008
Wanted	4	0.444192152132
Gossiping	6	0.298161496206
Hate	1	0.0811259136385
forsale	1	0.0755783068528
