board	degree	nordegree
Zastrology	18	1550.64220183
Cancer	15	1443.1352459
Capricornus	7	891.686046512
Scorpio	5	383.578431373
Sagittarius	5	313.0
Leo	3	210.223880597
Virgo	3	201.214285714
Pisces	3	192.945205479
Aries	3	176.0625
Aquarius	2	88.1690140845
Taurus	1	55.8928571429
Hong_Kong	1	55.8928571429
Gemini	1	34.0217391304
lesbian	1	18.4117647059
MakeUp	1	12.0384615385
Test	2	2.82236248873
WomenTalk	3	2.81587365054
Boy-Girl	1	2.21357850071
TaiwanDrama	1	1.28912685338
Wanted	3	1.1242816092
AllTogether	1	0.922759433962
Gossiping	4	0.836674685913
