board	degree	nordegree
Bank_Service	19	3531.03125
creditcard	24	2012.14285714
Actuary	4	963.076923077
drawing	8	953.904761905
ForeignEX	6	908.709677419
EXILE	1	782.5
BabyMother	14	568.037037037
equal_change	16	517.622739018
IC-Card	5	362.268518519
NY-Yankees	2	284.545454545
MOD	2	223.571428571
Tainan	16	218.332425068
WuGu-BaLi	1	173.888888889
ShuangHe	6	164.736842105
Liverpool	1	156.5
BeautySalon	4	147.294117647
Gossiping	50	130.730419674
BB_Online	2	125.2
Mancare	1	111.785714286
BuyTogether	8	104.333333333
BabyProducts	10	102.825229961
e-coupon	7	99.3329015544
SpaceArt	1	97.8125
China_travel	3	95.8163265306
Instant_Mess	1	86.9444444444
Hsinchu	6	84.8493975904
Android	3	82.8529411765
Broad_Band	1	82.3684210526
BigPeitou	2	60.7766990291
Yunlin	2	53.9655172414
Headphone	2	39.3710691824
Daan	2	33.1216931217
rent-exp	1	31.3
Health_Life	1	26.9827586207
car	4	25.3441295547
SENIORHIGH	2	25.3441295547
cat	2	25.140562249
TaichungBun	4	24.5490196078
biker	3	24.4956521739
Kaohsiung	5	24.3314676617
TOEIC	1	22.3571428571
e-shopping	2	21.9649122807
give	4	21.0420168067
forsale	16	20.9298923832
MuscleBeach	2	20.6600660066
LAW	1	18.4117647059
WorkanTravel	1	17.7840909091
Chat82gether	3	16.4929742389
Clothes	8	15.8130723082
Taipei	2	15.6892230576
tax	1	14.7641509434
Calendar	1	14.4907407407
Neihu	2	12.2504892368
Wen-Shan	1	12.0384615385
MakeUp	1	12.0384615385
bicycle	1	11.3405797101
China-Drama	1	11.2589928058
Miaoli	1	10.2287581699
MobileComm	3	9.54915254237
book	1	9.42771084337
NBA	4	8.28864614366
PingTung	1	7.0814479638
movie	3	5.35755039939
BigBanciao	1	5.28716216216
Baseball	5	5.22712090848
AC_In	1	4.49712643678
C_Chat	3	3.18593078489
Hearthstone	1	2.86106032907
part-time	1	2.59105960265
Militarylife	1	2.33233979136
NewActivity	1	2.08111702128
HelpBuy	2	1.80247624532
HardwareSale	1	1.5313111546
mobilesales	1	1.46398503274
Food	1	1.26107977438
Gamesale	1	1.09211444522
CN_Entertain	1	0.994282083863
BeautyMarket	1	0.937687237867
Test	1	0.705590622182
MenTalk	1	0.465635227611
LoL	1	0.357469164002
WomenTalk	1	0.31287485006
