board	degree	nordegree
mobilesales	3	2.1705963939
forsale	6	2.16309606082
HsinChuang	2	1.82720373614
cat	2	1.80715935335
equal_change	2	1.76736307171
Taoyuan	2	1.69006479482
car	2	1.68098818475
BabyProducts	2	1.6010230179
MobileComm	2	1.55334987593
HelpBuy	2	1.39982110912
Gossiping	5	1.20347585358
AnimalGoods	1	0.98738170347
San-Ying	1	0.977514053716
Shu-Lin	1	0.973258706468
NightLife	1	0.973258706468
Scorpio	1	0.968440594059
CATCH	1	0.965453423812
HsinTien	1	0.957186544343
Hotel	1	0.948484848485
Android	1	0.936004784689
marvel	1	0.933770883055
BeautySalon	1	0.933770883055
creditcard	1	0.909355026148
BigBanciao	1	0.908299477655
ShuangHe	1	0.900460299194
nb-shopping	1	0.891737891738
MRT	1	0.885180995475
Tech_Job	1	0.860836083608
Hsinchu	1	0.832004253057
TaichungBun	1	0.738555922605
C_Chat	1	0.610612563402
Wanted	1	0.495253164557
