board	degree	nordegree
PlayStation	17	14.8382598996
C_Chat	18	10.9910261412
Steam	11	10.2348394768
OverWatch	2	1.90970103722
PublicIssue	2	1.88214070956
IA	2	1.75743964065
Stock	2	1.70851528384
sex	2	1.56265601598
MenTalk	2	1.54644268775
Gossiping	5	1.20347585358
NBAGAME	1	0.998723675814
Minecraft	1	0.991761723701
money	1	0.98738170347
FishShrimp	1	0.984896161108
MabinogiHero	1	0.98427672956
Contacts	1	0.98427672956
Google	1	0.97507788162
Browsers	1	0.973864343497
Windows	1	0.963076923077
japanavgirls	1	0.938812237552
KanColle	1	0.937687237867
SENIORHIGH	1	0.933770883055
TaiwanDrama	1	0.912004662005
ShuangHe	1	0.900460299194
Hearthstone	1	0.892246294185
home-sale	1	0.882684715172
Tech_Job	1	0.860836083608
ask	1	0.811301192328
HatePolitics	1	0.721198156682
LoL	1	0.64749689698
WomenTalk	1	0.541897506925
