board	degree	nordegree
Gossiping	1920	192769.847634
LoL_Picket	135	117375.0
Militarylife	127	37618.3084948
Facebook	49	30549.3089431
Hearthstone	100	28610.6032907
Sub_Strategy	23	20697.125
WomenTalk	245	18780.3128749
C_Chat	198	13877.914499
CFantasy	60	13102.3255814
Cga	24	10481.8604651
graduate	24	8194.90909091
movie	115	7872.62267022
ONLINE	4	5008.0
GameDesign	4	5008.0
Tainan	74	4670.26702997
NY-Yankees	8	4552.72727273
ONE_PIECE	23	3647.07048458
FBaseball	13	3480.06578947
Rockets	15	3353.57142857
b04902xxx	2	3130.0
SportLottery	24	2965.26315789
NBA	73	2760.63720622
Suckgame	5	2608.33333333
GTA	7	2255.44117647
AntiVirus	3	2012.14285714
OverWatch	16	1889.81132075
biker	25	1701.08695652
ascii_wanted	2	1565.0
Test	47	1558.6496844
Tennis	15	1551.21145374
Baseball	83	1440.38543754
Mavericks	10	1409.90990991
Hate	125	1379.50609275
V_ScHooL	10	1293.38842975
car	26	1070.78947368
battlegirlhs	12	1043.33333333
Mancare	3	1006.07142857
Beauty	27	971.793015332
DIABLO	8	953.904761905
PathofExile	3	939.0
PC_Shopping	14	815.79787234
petwork	1	782.5
Programming	1	782.5
DiabloEX	7	774.595959596
Transfer	3	741.315789474
Child_Psy	4	676.756756757
japanavgirls	11	659.808362369
Wanted	71	629.722621328
finding	2	626.0
HK-movie	5	611.328125
MAC	7	599.1015625
Hunter	10	579.62962963
Chelsea	2	569.090909091
CCRomance	1	521.666666667
MLB	18	469.935125116
ID_Problem	8	445.155555556
MobileComm	20	424.406779661
RO	3	414.264705882
SENIORHIGH	8	405.506072874
PublicIssue	13	382.203757225
VR	4	373.731343284
BandPlayer	2	368.235294118
Atletico	10	343.201754386
TaiwanDrama	16	330.016474465
Key_Mou_Pad	6	323.793103448
Gov_owned	2	313.0
NARUTO	2	298.095238095
joke	18	284.545454545
Reptile	2	284.545454545
PttNewhand	4	269.247311828
Expansion07	1	260.833333333
Civil	1	260.833333333
MuscleBeach	7	253.085808581
Jeremy_Lin	5	244.53125
Suckcomic	6	242.844827586
StarCraft	2	240.769230769
PttEarnMoney	46	233.849304428
RomanceGame	1	223.571428571
EZsoft	1	223.571428571
HardwareSale	12	220.508806262
FITNESS	5	218.575418994
THSRshare	3	198.38028169
sex	15	186.210999471
bass	1	173.888888889
nb-shopping	6	167.678571429
WOW	5	162.34439834
ToS	4	160.512820513
prozac	4	156.5
RealPlaying	1	156.5
Free_box	1	156.5
KanColle	6	144.832904884
PU_Family	2	130.416666667
GBF	1	120.384615385
Psychiatry	2	113.818181818
AC_In	5	112.42816092
Shooter-game	1	111.785714286
EAseries	3	87.4844720497
SuperHeroes	4	84.0268456376
CS_TEACHER	1	82.3684210526
RESIT	1	78.25
Electronics	1	78.25
Google	2	71.1363636364
Theater	1	71.1363636364
GossipPicket	7	61.2011173184
PuzzleDragon	2	58.5046728972
Tour-Agency	2	57.4311926606
juniorhigh	2	53.9655172414
Yunlin	2	53.9655172414
SET	1	52.1666666667
HateP_Picket	3	51.5934065934
marvel	3	51.4051094891
HsinChuang	3	51.2181818182
Tech_Job	4	47.4242424242
LivingGoods	1	47.4242424242
ClashRoyale	2	46.7164179104
Thailand	1	46.0294117647
Stock	5	45.4413472706
Sony-style	1	44.7142857143
GambleGhost	57	44.6789244761
ask	5	44.3091732729
hairdo	2	43.4722222222
Comic	1	43.4722222222
Palmar_Drama	6	43.1393568147
toberich	2	42.2972972973
PlayStation	4	40.9819967267
Headphone	2	39.3710691824
WindowsPhone	2	38.8819875776
HandMade	1	37.2619047619
KoreaStar	2	35.5681818182
Boy-Girl	4	35.4172560113
sky	2	34.7777777778
IELTS	1	34.7777777778
dog	2	34.5856353591
SailorMoon	1	33.2978723404
CareerPlan	1	31.9387755102
rent-exp	1	31.3
money	1	30.6862745098
FishShrimp	1	27.9464285714
Gamesale	5	27.3028611305
MabinogiHero	1	26.9827586207
RockMetal	1	26.0833333333
Contacts	1	26.0833333333
TaichungBun	4	24.5490196078
shoes	1	24.453125
Digitalhome	1	24.0769230769
HatePolitics	7	22.7416963227
Aquarius	1	22.0422535211
Koei	1	20.5921052632
Live	2	20.4575163399
Browsers	1	19.3209876543
LAW	1	18.4117647059
NBA_Film	3	17.6725219573
MysticWiz	1	17.5842696629
Steam	2	16.8733153639
MenTalk	6	16.762868194
iPhone	2	15.7286432161
BigPeitou	1	15.1941747573
Windows	1	14.9047619048
JessicaJung	1	13.0416666667
historia	2	11.9011406844
NCTU_TALK	1	11.8560606061
aqua-shop	1	11.7669172932
watch	1	11.6791044776
IA	4	11.6465116279
BlizzHeroes	1	11.5073529412
Road_Running	1	10.9440559441
Elephants	9	10.656998739
MiamiHeat	3	10.5743243243
LeicesterCFC	1	10.4333333333
Hsinchu	2	9.42771084337
Eng-Class	1	9.15204678363
Chiayi	1	8.8418079096
Aviation	2	8.81690140845
I.O.I	1	7.74752475248
DummyHistory	1	7.01793721973
KoreanPop	2	6.94783573807
forsale	9	6.62234876188
gay	1	6.36178861789
Spurs	1	6.26
mobilesales	2	5.85594013096
RedSox	1	5.45296167247
Sad	1	5.41522491349
Lifeismoney	1	4.61651917404
ShuangHe	1	4.57602339181
HelpBuy	3	4.05557155197
L_TalkandCha	1	4.05440414508
Kaohsiung	2	3.89303482587
StupidClown	1	3.85467980296
Monkeys	3	3.31880301602
BabyMother	1	2.89814814815
Salary	1	2.79464285714
home-sale	1	2.74561403509
part-time	1	2.59105960265
Lions	2	1.99681020734
heart	1	1.93928128872
TWICE	1	1.90157958688
Japan_Travel	1	1.49474689589
MacShop	1	1.4598880597
Food	1	1.26107977438
NTU	1	1.1170592434
Diary	1	1.00320512821
AllTogether	1	0.922759433962
Drama-Ticket	1	0.715265082267
KR_Entertain	1	0.637474541752
Rhinos	1	0.0854724194429
