board	degree	nordegree
MacShop	4	2.37390974592
SET	2	1.96238244514
MoveHouse	2	1.91906805641
points	2	1.86977299881
mobilesales	3	1.78246013667
WomenTalk	6	1.42987665601
Interior	1	0.976903870162
PttLifeLaw	1	0.95021250759
LAW	1	0.948484848485
Facebook	1	0.927132701422
CarShop	1	0.920588235294
BoardGame	1	0.896848137536
MuscleBeach	1	0.837794432548
creditcard	1	0.777446597119
home-sale	1	0.733021077283
Hsinchu	1	0.702108568865
TaichungBun	1	0.605415860735
Gamesale	1	0.522014676451
AllTogether	1	0.479914136768
forsale	1	0.0755783068528
