board	degree	nordegree
MacShop	6	3.56086461889
Gamesale	6	3.13208805871
HardwareSale	5	3.02473908002
TurtleSoup	3	2.80633592349
WomenTalk	11	2.62144053601
PC_Shopping	3	2.41885625966
AllTogether	5	2.39957068384
Hsinchu	3	2.10632570659
guitar	2	1.91906805641
DiabloEX	2	1.88100961538
movie	5	1.8657606104
Wen-Shan	2	1.84660766962
LoL	7	1.8433451119
KoreaDrama	2	1.83901292597
hairdo	2	1.83148039789
Bank_Service	2	1.81449275362
OverWatch	2	1.76139561058
Gossiping	27	1.34172673292
Digital_Art	1	0.995547073791
CodeJob	1	0.995547073791
Sub_GConsole	1	0.994914176732
Master_D	1	0.989879822897
Deutsch	1	0.983040201005
DC	1	0.979962429555
TOEFL_iBT	1	0.964263709181
Storage_Zone	1	0.960122699387
hypermall	1	0.958358848745
Browsers	1	0.950789793439
Scorpio	1	0.938812237552
MakeUp	1	0.923303834808
Headphone	1	0.90777262181
Android	1	0.902017291066
Chiayi	1	0.898392652124
marvel	1	0.851005981512
Bus	1	0.845945945946
MuscleBeach	1	0.837794432548
Examination	1	0.827604442094
iPhone	1	0.797249108507
car	1	0.613004308656
MobileComm	1	0.514802631579
joke	1	0.467582910069
Tainan	1	0.460294117647
Wanted	4	0.444192152132
Test	1	0.413692836373
forsale	4	0.302313227411
