board	degree	nordegree
BeautySalon	10	920.588235294
e-shopping	12	790.736842105
NCCU_RU	1	391.25
BeautyMarket	15	210.97962852
Aussiekiwi	2	149.047619048
Disney	1	130.416666667
Mancare	1	111.785714286
Suit_Style	1	104.333333333
Capricornus	2	72.7906976744
GetMarry	3	61.5065502183
Conan	1	60.1923076923
Yunlin	2	53.9655172414
TamShui	1	52.1666666667
Aromatherapy	1	48.90625
KoreaStudy	1	44.7142857143
hairdo	2	43.4722222222
Perfume	1	36.3953488372
Aves	1	35.5681818182
WomenTalk	10	31.287485006
facelift	1	30.6862745098
Clothes	11	29.8965898326
shoes	1	24.453125
stationery	1	19.0853658537
Libra	1	18.630952381
WorkanTravel	1	17.7840909091
Chat82gether	3	16.4929742389
HelpBuy	6	16.2222862079
Tainan	4	13.6457765668
Japan_Travel	3	13.452722063
MAC	1	12.2265625
KoreaDrama	1	11.4233576642
China_travel	1	10.6462585034
BigShiLin	1	10.3642384106
I-Lan	1	8.50543478261
BuyTogether	2	6.52083333333
cat	1	6.28514056225
Food	2	5.0443190975
Lifeismoney	1	4.61651917404
Perfume_Shop	1	3.98218829517
iPhone	1	3.93216080402
Rent_tao	1	3.58944954128
Taoyuan	1	2.87683823529
Aviation	1	2.20422535211
TaichungBun	1	1.53431372549
give	1	1.31512605042
TaiwanDrama	1	1.28912685338
Kaohsiung	1	0.973258706468
Gossiping	4	0.836674685913
Drama-Ticket	1	0.715265082267
movie	1	0.59528337771
Wanted	2	0.499680715198
forsale	2	0.327029568488
