Name	Degree	NorDegree
TPC_Police	1	0.00958466453674
GossipPicket	362	0.800638977636
money	2	0.0325878594249
Little-Games	2	0.0364217252396
biker	1	0.367412140575
PttNewhand	1	0.0594249201278
Examination	6	0.208306709265
japanavgirls	35	0.18338658147
PuzzleDragon	1	0.0683706070288
Pet_boarding	10	0.0134185303514
WomenTalk	336	3.19616613419
home-sale	4	0.364217252396
Boy-Girl	14	0.451757188498
ask-why	7	0.0102236421725
book	7	0.10607028754
Diary	76	0.996805111821
FishShrimp	2	0.0357827476038
Lifeismoney	1	0.21661341853
Salary	16	0.357827476038
Drum	1	0.00575079872204
MRT	1	0.442172523962
Hearthstone	4	0.349520766773
CrossStrait	8	0.502875399361
Mechanical	2	0.0178913738019
Gossiping	532	19.1233226837
AllTogether	1	1.08370607029
fastfood	1	0.0313099041534
HatePolitics	68	2.15463258786
Sad	16	0.184664536741
heart	8	0.515654952077
Browsers	2	0.0517571884984
Tea	20	0.0210862619808
China-Drama	1	0.0888178913738
RESIT	1	0.0127795527157
LAW	1	0.0543130990415
Hate	137	11.3265175719
TaiwanDrama	22	0.77571884984
Statistics	2	0.0121405750799
Child_Psy	2	0.023642172524
hypermall	5	0.0434504792332
elderly	5	0.0172523961661
sex	78	1.20830670927
SENIORHIGH	21	0.157827476038
Kaohsiung	10	1.02747603834
Android	1	0.108626198083
HateP_Picket	15	0.174440894569
WeiBird	20	0.0242811501597
cookclub	5	0.0932907348243
mobilesales	2	0.683067092652
Lonely	32	0.222364217252
hair_loss	4	0.00447284345048
medstudent	1	0.0785942492013
movie	31	1.67987220447
Lefty	1	0.073482428115
Web_Design	6	0.00958466453674
Japanhistory	1	0.00255591054313
EAseries	5	0.102875399361
C_Chat	11	2.8249201278
PH-sea	1	0.0453674121406
Hamster	1	0.00830670926518
Nurse	5	0.0408945686901
ask	8	0.564217252396
TaichungBun	3	0.651757188498
Detective	2	0.00830670926518
joke	68	1.13865814696
lostsleep	1	0.00511182108626
dreams-wish	16	0.109265175719
forsale	8	12.2313099042
RIPE_gender	12	0.029392971246
Sijhih	15	0.0741214057508
TNFSH102nd	45	0.200638977636
ID_Problem	4	0.143769968051
Contacts	2	0.038338658147
NDHU-Econ10	1	0.00575079872204
AntiVirus	1	0.00447284345048
BandPlayer	2	0.0108626198083
bi-sexual	14	0.0249201277955
MobileComm	6	0.94249201278
toberich	1	0.0945686900958
prozac	2	0.102236421725
Beauty	49	0.750159744409
e-shopping	1	0.182108626198
Q_ary	1	0.0230031948882
ID_Multi	30	0.104792332268
LoL	6	2.79744408946
Zombie	1	0.0198083067093
Notebook	2	0.0421725239617
music	1	0.00191693290735
Master_D	1	0.0102236421725
CATCH	7	0.0907348242812
Baseball	15	4.78274760383
Post	1	0.146325878594
Wanted	297	8.00511182109
happy	32	0.237699680511
MabinogiHero	2	0.0370607028754
Tech_Job	3	0.337380191693
Language	1	0.0242811501597
PC_Shopping	2	0.240255591054
PublicIssue	31	0.442172523962
Eng-Class	5	0.109265175719
Francais	1	0.0172523961661
Hsinchu	22	0.42428115016
Psychiatry	1	0.0351437699681
Nangang	15	0.0817891373802
Pharmacy	1	0.0159744408946
Instant_Food	5	0.0121405750799
FORMULA1	8	0.134185303514
car	3	0.631309904153
Live	4	0.19552715655
L_TalkandCha	13	0.246645367412
historia	1	0.336102236422
rent-exp	1	0.0319488817891
PttLifeLaw	1	0.0523961661342
iPod	1	0.00191693290735
bridge	2	0.00511182108626
Realm	8	0.0255591054313
mobile-game	1	0.038338658147
DC	2	0.020447284345
Suckcomic	4	0.148242811502
Memory	8	0.0900958466454
Ptt-Press	15	0.0370607028754
Chat82gether	7	0.545686900958
Stock	9	0.550159744409
Option	12	0.0511182108626
Hunter	1	0.172523961661
creditcard	13	0.286261980831
PSY	2	0.020447284345
pay_home	1	0.0102236421725
transgender	7	0.0191693290735
Suckgame	1	0.00958466453674
Windows	4	0.0670926517572
WarringState	2	0.0134185303514
NCTU_TALK	4	0.0843450479233
WhiteCat	5	0.023642172524
StupidClown	82	0.259424920128
Wei-Lun	15	0.0402555910543
IA	8	1.37380191693
Physics	2	0.0140575079872
Hualien	4	0.0722044728435
Nantou	1	0.0760383386581
Reptile	1	0.0140575079872
Google	2	0.0562300319489
TW-language	1	0.0594249201278
MuscleBeach	12	0.193610223642
Taoyuan	2	0.347603833866
part-time	2	0.385942492013
painting	3	0.0466453674121
drawing	1	0.0670926517572
talk	365	3.15335463259
iPhone	1	0.254313099042
