board	degree	nordegree
Wade	7	10955.0
Raptors	126	8216.25
FAPL	126	7042.5
Hornets	98	6218.56019859
tabletennis	84	5238.44402277
BLAZERS	77	4810.20476931
G-S-WARRIORS	70	4308.14606742
GO	63	3889.47088291
LaClippers	49	2998.8547486
PACERS	49	2965.71823204
Thunder	49	2912.84108527
Hawks	42	2556.16666667
CN_Entertain	49	2387.27128335
Palmar_Drama	42	2113.82848392
Cavaliers	35	2088.37145969
NTU	42	1970.49250535
RealMadrid	28	1629.42895086
FCBarcelona	21	1257.13114754
ChicagoBulls	21	1257.13114754
Nets	14	833.532608696
NBAEasyChat	5	782.5
Celtics	14	739.13253012
Atletico	14	672.675438596
Soccer	14	553.682310469
Wizards	7	414.513513514
Orl-Magic	7	414.513513514
Lionel_Messi	7	414.513513514
LFP	7	414.513513514
CONCACAF	7	414.513513514
BVB_09	7	414.513513514
Argentina	7	414.513513514
ManCity	7	410.080213904
Bundesliga	7	410.080213904
FCBayern	7	395.283505155
ManUtd	7	342.34375
SuperHeroes	7	257.332214765
JessicaJung	4	208.666666667
NBA	14	101.53591526
MLB	8	92.8266913809
GoranDragic	1	62.6
Elephants	21	58.0214375788
COC	2	55.3982300885
Thailand	1	46.0294117647
ToS	2	40.1282051282
soho	1	34.0217391304
NBA_Film	4	31.417816813
movie	7	29.1688855078
MuscleBeach	2	20.6600660066
Rhinos	14	16.7525942108
Gossiping	17	15.1124365143
graduate	1	14.2272727273
Spurs	1	6.26
WomenTalk	4	5.00599760096
LoL	3	3.21722247602
Boy-Girl	1	2.21357850071
Test	1	0.705590622182
