board	degree	nordegree
IA	150	63.1897711978
politics	30	20.2196382429
CrossStrait	23	15.3039965986
Militarylife	12	8.39892665474
Gossiping	140	6.95710157813
HatePolitics	19	6.02288839376
tax	6	5.61938958707
TW-history	6	5.43402777778
PublicIssue	6	4.16038989809
Warfare	4	3.732856291
car	6	3.67802585194
NBA	7	2.38879197558
FTV	2	1.79885057471
C_Chat	4	1.04577347143
Shooter-game	1	0.991133628879
Fantasy	1	0.991133628879
Kaohsiung	2	0.986448156319
MATLAB	1	0.98427672956
Chemistry	1	0.979962429555
model	1	0.966049382716
AllTogether	2	0.959828273536
VR	1	0.958946078431
XBOX	1	0.953105968331
book	1	0.904101675332
battlegirlhs	1	0.878719820326
Spurs	1	0.862258953168
HateP_Picket	1	0.85146898803
KanColle	1	0.800921187308
CFantasy	1	0.784461152882
PlayStation	1	0.719209558824
Baseball	3	0.518784530387
Wanted	2	0.222096076066
