board	degree	nordegree
LoL	127	33.4435470301
Road	17	14.1893333333
Gossiping	197	9.78963579208
Tainan	21	9.66617647059
Military	12	9.37593609586
Facebook	10	9.27132701422
MRT	11	7.62738147984
gallantry	8	7.30881494454
C_Chat	26	6.79752756432
Cga	7	6.63537250151
swim	7	6.36178861789
Ecophilia	7	6.30685089234
sky	7	6.27793696275
Olympics_ISG	7	6.13038612199
Bus	7	5.92162162162
graduate	5	4.67164179104
Agriculture	5	4.53623188406
biker	6	4.38785046729
Germany	4	3.95701643489
Navy	4	3.78019323671
Oceanography	4	3.75299760192
juniorhigh	4	3.7239738251
Soccer	5	3.69277961303
ToS	4	3.63742010459
Badminton	4	3.60184119678
CrossStrait	5	3.32695578231
joke	7	3.27308037048
Railway	5	3.12375249501
PublicBike	3	2.84545454545
Warfare	3	2.79964221825
Tennis	3	2.61997767857
Stock	4	2.58037922506
TY_Research	3	2.55440696409
iPhone	3	2.39174732552
historia	3	2.24533715925
IA	5	2.10632570659
MobileComm	4	2.05921052632
Kaohsiung	4	1.97289631264
KingdomHuang	2	1.96115288221
CFP	2	1.95258889582
basketballTW	2	1.91437308869
PH-sea	2	1.91320293399
EarthScience	2	1.91320293399
AirForce	2	1.90970103722
HatePolitics	6	1.90196475592
PttNewhand	2	1.88781664656
tax	2	1.87312986236
TAXI	2	1.86531585221
Yunlin	2	1.86198691255
V_ScHooL	2	1.85646500593
Korea_Travel	2	1.8433451119
car	3	1.83901292597
CATCH	2	1.83362624487
toberich	2	1.82720373614
Post	2	1.74470457079
Suckcomic	2	1.74179187535
WOW	2	1.73311184939
Baseball	10	1.72928176796
TaiwanDrama	3	1.68945663908
AC_In	2	1.6361735494
PC_Shopping	2	1.61257083977
Taipei	2	1.59368635438
ChangHua	2	1.55180961824
Taoyuan	2	1.48411569464
Hsinchu	2	1.40421713773
PublicIssue	2	1.3867966327
Aviation	2	1.37582417582
Test	3	1.24107850912
WomenTalk	5	1.19156388001
Gulong	1	0.999361430396
MLBGAME	1	0.998086734694
need_student	1	0.981806775408
GUNDAM	1	0.971446306642
Jinmen	1	0.963076923077
TW-language	1	0.943908323281
Teacher	1	0.915204678363
China_travel	1	0.914135514019
sex	2	0.905671296296
PingTung	1	0.876259798432
Examination	1	0.827604442094
Lifeismoney	1	0.821953781513
Steam	1	0.808367768595
Hearthstone	1	0.741003787879
Salary	1	0.736470588235
home-sale	1	0.733021077283
Boy-Girl	1	0.688820422535
TaichungBun	1	0.605415860735
Beauty	1	0.57137641475
AllTogether	1	0.479914136768
Hate	2	0.162251827277
