board	degree	nordegree
BaseballXXXX	22	21.2007389163
Elephants	25	20.0950179764
Lions	21	19.1186736475
Rhinos	23	18.8554216867
CMWang	18	17.0417422868
Baseball	25	14.1347543353
weiyin	7	6.80857675575
Gossiping	10	2.40695170717
NBA	3	2.31280788177
FORMULA1	2	1.92971639951
CFantasy	2	1.88327316486
Hate	3	1.74665178571
Violation	1	0.998086734694
PHX-Suns	1	0.998086734694
Comic	1	0.98738170347
fastfood	1	0.983658076681
FTV	1	0.979349186483
TW_Entertain	1	0.978125
einvoice	1	0.976903870162
AKB48	1	0.975685785536
Sijhih	1	0.967243510507
CVS	1	0.957772337821
SportLottery	1	0.956601466993
marvel	1	0.933770883055
BeautySalon	1	0.933770883055
Steam	1	0.930439952438
DC_SALE	1	0.916813122437
TaiwanDrama	1	0.912004662005
MLB	1	0.908826945412
BaseballNEWS	1	0.906195715113
iPhone	1	0.883681535855
Beauty	1	0.875279642058
Aviation	1	0.863686534216
Tech_Job	1	0.860836083608
PttEarnMoney	1	0.85989010989
Boy-Girl	1	0.85332606325
GambleGhost	1	0.821522309711
Japan_Travel	1	0.798469387755
MobileComm	1	0.776674937965
Test	1	0.775520317146
AllTogether	1	0.725208526413
LoL	1	0.64749689698
C_Chat	1	0.610612563402
