board	degree	nordegree
NBA	211	23063.6759351
MLB	119	20539.3558851
MysticWiz	24	10128.5393258
Rayark	12	8048.57142857
Spurs	26	4231.76
MusicGame	6	2682.85714286
electronic	15	2379.22297297
Baseball	102	2175.31863727
Gossiping	192	1927.69847634
StephenCurry	1	1565.0
CSIE_BASKET	1	1565.0
Beauty	30	1199.74446337
Jeremy_Lin	8	626.0
Mavericks	6	507.567567568
Japandrama	5	203.776041667
Celtics	5	94.2771084337
Pistons	1	92.0588235294
Salary	5	69.8660714286
C_Chat	13	59.8247002941
PublicServan	1	24.8412698413
Browsers	1	19.3209876543
MiamiHeat	4	18.7987987988
Gamesale	3	9.82903000698
HsinChuang	1	5.69090909091
LoL	3	3.21722247602
NTU	1	1.1170592434
HatePolitics	1	0.464116251483
