board	degree	nordegree
TaichungBun	11	6.65957446809
Hearthstone	5	3.70501893939
NCUT	2	1.95258889582
YZU_Talk	2	1.95015576324
CYUT	2	1.94289261328
car-pool	2	1.8134414832
SENIORHIGH	2	1.72737306843
Rent_tao	2	1.56421789105
NCHU-SWC	1	0.999361430396
NUK_TALK	1	0.995547073791
NTHU_EDA223	1	0.995547073791
CCU_talk	1	0.995547073791
NSYSU	1	0.993020304569
scholarship	1	0.979349186483
TIT	1	0.979349186483
STUST	1	0.979349186483
NUU_Talk	1	0.979349186483
NUU_ID	1	0.979349186483
NUU-ARCHI	1	0.979349186483
NTUST-ARCH	1	0.979349186483
NTCUST	1	0.979349186483
NTCU	1	0.979349186483
NFU	1	0.979349186483
Lan_Yang	1	0.979349186483
LTU	1	0.979349186483
KSU	1	0.979349186483
HungKuang	1	0.979349186483
CHU	1	0.979349186483
NDHU	1	0.978125
NYUST	1	0.977514053716
CTUST	1	0.977514053716
ASIA-uni	1	0.976903870162
NCNU	1	0.97629444791
FCU_Talk	1	0.975685785536
NHCUE-Talk	1	0.97265382225
OCU	1	0.971446306642
NCU_Talk	1	0.970843672457
PU_Family	1	0.970241785493
NTUST_Talk	1	0.966049382716
TaichungCont	1	0.956017104459
PttNewhand	1	0.943908323281
NCCU	1	0.934886499403
V_ScHooL	1	0.928232502966
CarShop	1	0.920588235294
SongShan	1	0.918966529654
Rent_apart	1	0.900978698906
THU_Talk	1	0.899425287356
Refresh	1	0.82066072365
learnyf	1	0.81256490135
talk	3	0.722307692308
part-time	1	0.72153065929
Beauty	1	0.57137641475
Gossiping	11	0.54662940971
Baseball	3	0.518784530387
WomenTalk	2	0.476625552002
Test	1	0.413692836373
forsale	3	0.226734920558
Hate	1	0.0811259136385
