board	degree	nordegree
Hawks	6	5.55621301775
LaClippers	6	5.52028218695
PACERS	6	5.5073313783
Thunder	6	5.48481308411
GO	6	5.46884100175
BLAZERS	6	5.44347826087
G-S-WARRIORS	6	5.43088490457
Raptors	6	5.41834968263
MiamiHeat	6	5.41834968263
Hornets	6	5.41834968263
tabletennis	6	5.40587219344
CN_Entertain	6	5.39345203906
Palmar_Drama	6	5.35042735043
FAPL	6	5.27824620573
part-time	6	5.15367727772
Cavaliers	5	4.65773809524
Suckcomic	4	3.83343539498
RealMadrid	4	3.75299760192
Gossiping	12	2.8883420486
Post	3	2.87155963303
FCBarcelona	3	2.85410334347
ChicagoBulls	3	2.85410334347
Hunter	3	2.81137724551
Elephants	3	2.41140215716
Test	3	2.32656095144
NTUMG	2	1.99744735163
Miaoli	2	1.94048357099
Nets	2	1.92496924969
Tai-travel	2	1.91906805641
Celtics	2	1.91671769749
Atletico	2	1.89812007277
NTU_GoodLife	2	1.88781664656
job	2	1.87537447573
friends	2	1.86865671642
SENIORHIGH	2	1.86754176611
Perfume_Shop	2	1.84988179669
Taipei	2	1.82827102804
Soccer	2	1.81029496819
biker	2	1.76736307171
Tech_Job	2	1.72167216722
travel	2	1.69831795985
Rhinos	2	1.6396018858
Food	2	1.57921291625
joke	2	1.57286432161
give	2	1.57128514056
movie	2	1.35322092521
C_Chat	2	1.2212251268
WomenTalk	2	1.08379501385
Psy-Team	1	0.999361430396
NTU_BOTDorm	1	0.999361430396
NTUSA	1	0.999361430396
NTULibrary	1	0.999361430396
NTUARTpro	1	0.999361430396
NBAGAME	1	0.998723675814
PostRock	1	0.998086734694
NTUMystery	1	0.998086734694
NTUDormM7	1	0.998086734694
MysteryStory	1	0.998086734694
JapaneseRock	1	0.998086734694
TaiwanJobs	1	0.997450605481
Brit-pop	1	0.997450605481
NTU-Textbook	1	0.996180776575
Detective	1	0.995547073791
Chemistry	1	0.993020304569
Bioindustry	1	0.993020304569
TWSU	1	0.992390615092
AdvEduUK	1	0.992390615092
N_E_Coastal	1	0.991761723701
NCCU	1	0.989879822897
CareerLady	1	0.989879822897
Deutsch	1	0.989254108723
Electronics	1	0.988629185092
AfterPhD	1	0.988629185092
Physics	1	0.98738170347
Oversea_Job	1	0.98738170347
WorkinChina	1	0.985516372796
speech	1	0.981806775408
FBaseball	1	0.981806775408
poem	1	0.981191222571
unemployed	1	0.976903870162
Wizards	1	0.976903870162
Orl-Magic	1	0.976903870162
Lionel_Messi	1	0.976903870162
LFP	1	0.976903870162
CONCACAF	1	0.976903870162
BVB_09	1	0.976903870162
Argentina	1	0.976903870162
Coffee	1	0.97629444791
Bundesliga	1	0.97629444791
ManCity	1	0.975685785536
studyabroad	1	0.97507788162
Storage_Zone	1	0.973258706468
FCBayern	1	0.97265382225
ManUtd	1	0.968440594059
EarthScience	1	0.967841682127
battlegirlhs	1	0.966646077826
PttLifeLaw	1	0.966646077826
ZACTION	1	0.958358848745
Daan	1	0.947336561743
NBA_Film	1	0.946191051995
SuperHeroes	1	0.940504807692
toberich	1	0.93824940048
dog	1	0.932657926103
sky	1	0.928783382789
Badminton	1	0.928232502966
Examination	1	0.924394565859
SportsShop	1	0.921130076516
PC_Shopping	1	0.914135514019
BikerShop	1	0.914135514019
MLB	1	0.908826945412
ShuangHe	1	0.900460299194
Hearthstone	1	0.892246294185
barterbooks	1	0.885681946802
iPhone	1	0.883681535855
Salary	1	0.862258953168
Boy-Girl	1	0.85332606325
HardwareSale	1	0.790803436079
TaichungBun	1	0.738555922605
HatePolitics	1	0.721198156682
forsale	2	0.721032020272
LoL	1	0.64749689698
Hate	1	0.582217261905
Baseball	1	0.56539017341
