board	degree	nordegree
GossipPicket	24	719.42537909
Stall	2	250.4
Neihu	7	150.068493151
HandMade	2	149.047619048
TWSU	1	130.416666667
Sijhih	3	121.422413793
MenTalk	15	104.767926212
SongShan	3	102.065217391
MoveHouse	2	94.8484848485
BigShiLin	3	93.2781456954
HsinYi	2	63.2323232323
Songs	1	57.962962963
BabyMother	4	46.3703703704
TNFSH102nd	3	44.8566878981
Singapore	1	44.7142857143
e-seller	1	39.125
ID_Multi	2	38.1707317073
Ptt-Press	1	26.9827586207
Wei-Lun	1	24.8412698413
SuperBike	1	21.4383561644
stationery	1	19.0853658537
Board-Police	1	17.7840909091
BabyProducts	4	16.4520367937
BigPeitou	1	15.1941747573
IC-Card	1	14.4907407407
Rent_tao	2	14.3577981651
Zhongshan	1	13.7280701754
HsinTien	1	12.3228346457
give	3	11.8361344538
car-pool	1	9.72049689441
BoardGame	1	8.69444444444
I-Lan	1	8.50543478261
forsale	10	8.1757392122
Gossiping	11	6.32735231222
BigBanciao	1	5.28716216216
Taipei	1	3.92230576441
TaichungBun	1	1.53431372549
talk	2	1.26849037487
WomenTalk	2	1.25149940024
movie	1	0.59528337771
HelpBuy	1	0.45061906133
Hate	1	0.0882883899357
