board	degree	nordegree
Japandrama	6	5.34433693796
Taoyuan	5	3.71028923661
TaichungBun	6	3.63249516441
car-pool	4	3.6268829664
Food	6	3.34640057021
multi-lovers	3	2.99426020408
Hiking	3	2.96776232617
Jinmen	3	2.88923076923
AllTogether	6	2.87948482061
Hsinchu	4	2.80843427546
ChangHua	3	2.32771442737
HT_Nishijima	2	1.99109414758
Kaohsiung	4	1.97289631264
PH-sea	2	1.91320293399
Hotel	2	1.8433451119
Road	2	1.66933333333
MRT	2	1.3867966327
Aviation	2	1.37582417582
IA	3	1.26379542396
give	2	1.13611615245
MacDev	1	0.993650793651
Bingo	1	0.991133628879
Nightmarket	1	0.990506329114
vitalitydiet	1	0.989879822897
Stall	1	0.98427672956
CAFENCAKE	1	0.983040201005
Mechanical	1	0.982423101067
Taitung	1	0.97507788162
camping	1	0.966049382716
love-vegetal	1	0.965453423812
Oceanography	1	0.93824940048
juniorhigh	1	0.930993456276
Yunlin	1	0.930993456276
Miaoli	1	0.910942956927
swim	1	0.908826945412
Agriculture	1	0.907246376812
Ecophilia	1	0.900978698906
Badminton	1	0.900460299194
Olympics_ISG	1	0.875769445999
TY_Research	1	0.85146898803
Examination	1	0.827604442094
Ind-travel	1	0.80421377184
Tech_Job	1	0.747730530339
travel	1	0.688517377915
CrossStrait	1	0.665391156463
Railway	1	0.624750499002
HelpBuy	2	0.621278285034
Japan_Travel	1	0.599157733538
Gamesale	1	0.522014676451
MobileComm	1	0.514802631579
WomenTalk	2	0.476625552002
Tainan	1	0.460294117647
Wanted	4	0.444192152132
movie	1	0.373152122079
MenTalk	1	0.317701989444
Hate	3	0.243377740915
Gossiping	4	0.198774330804
forsale	2	0.151156613706
