board	degree	nordegree
Buddha	5	4.86932171749
MIS	4	3.97208121827
SAN	1	0.996180776575
T-I-R	1	0.9861373661
STS	1	0.9861373661
Monotheism	1	0.9861373661
Marxism	1	0.9861373661
Learn_Buddha	1	0.9861373661
HumService	1	0.9861373661
Hakka-Dream	1	0.9861373661
China	1	0.9861373661
Atheism	1	0.9861373661
Ancient	1	0.9861373661
IGuanTao	1	0.984896161108
Taoism	1	0.98427672956
Feminism	1	0.98427672956
W-Philosophy	1	0.978736710444
soul	1	0.976903870162
Confucianism	1	0.976903870162
Folklore	1	0.970843672457
poem	1	0.965453423812
Aboriginal	1	0.959534028204
Christianity	1	0.945048309179
Buddhism	1	0.943908323281
Catholic	1	0.91735052755
Japandrama	1	0.890722822994
historia	1	0.748445719751
barterbooks	1	0.561133022589
Gossiping	5	0.248467913505
forsale	1	0.0755783068528
