board	degree	nordegree
CATCH	5	275.528169014
Wanted	34	144.407726692
car	9	128.30465587
travelbooks	1	65.2083333333
Salesperson	1	43.4722222222
share	1	37.2619047619
Android	2	36.8235294118
Perfume	1	36.3953488372
Perfume_Shop	3	35.8396946565
KTV	1	27.4561403509
LinKou	1	15.65
AllTogether	4	14.7641509434
creditcard	2	13.9732142857
WomenTalk	5	7.8218712515
japanavgirls	1	5.45296167247
MobileComm	2	4.24406779661
Kaohsiung	2	3.89303482587
Taoyuan	1	2.87683823529
PlayStation	1	2.56137479542
MRT	1	2.26156069364
NewActivity	1	2.08111702128
MacShop	1	1.4598880597
Gossiping	5	1.30730419674
TaiwanDrama	1	1.28912685338
Gamesale	1	1.09211444522
Hate	1	0.0882883899357
