board	degree	nordegree
nb-shopping	11	563.586309524
C_and_CPP	1	260.833333333
Windows	4	238.476190476
bridge	1	195.625
LCD	1	142.272727273
Storage_Zone	2	96.3076923077
Electronics	1	78.25
Physics	1	71.1363636364
MapleStory	1	65.2083333333
PSY	1	48.90625
forsale	16	20.9298923832
hardware	1	18.4117647059
China-Drama	1	11.2589928058
Android	1	9.20588235294
Gossiping	11	6.32735231222
WomenTalk	4	5.00599760096
CFantasy	1	3.63953488372
CrossStrait	1	1.98856416773
MenTalk	2	1.86254091044
Stock	1	1.81765389082
ask	1	1.77236693092
Beauty	1	1.33304940375
Hate	1	0.0882883899357
