Name	Degree	NorDegree
TAXI	1	0.0722044728435
juniorhigh	4	0.0741214057508
Oceanography	6	0.0658146964856
basketballTW	2	0.0447284345048
home-sale	1	0.364217252396
Militarylife	7	0.42875399361
Tennis	3	0.145047923323
CrossStrait	8	0.502875399361
Gossiping	20	19.1233226837
I.O.I	1	0.129073482428
KoreaStar	1	0.112460063898
Soccer	8	0.353993610224
Ecophilia	10	0.109904153355
Cga	2	0.0549520766773
Bus	7	0.182108626198
sky	10	0.115015974441
TY_Research	3	0.174440894569
Korea_Travel	4	0.0849840255591
Baseball	5	4.78274760383
Post	2	0.146325878594
Tainan	3	1.17252396166
swim	8	0.100319488818
Tech_Job	1	0.337380191693
EarthScience	4	0.0453674121406
FTV	1	0.111821086262
MRT	9	0.442172523962
PH-sea	2	0.0453674121406
TW-history	1	0.104153354633
Aviation	6	0.453674121406
IA	12	1.37380191693
China_travel	3	0.0939297124601
Railway	12	0.600638977636
medache	2	0.0140575079872
Road	11	0.198083067093
Nantou	1	0.0760383386581
Golf	1	0.0159744408946
AirForce	3	0.0472843450479
V_ScHooL	2	0.0773162939297
Jinmen	3	0.038338658147
Taoyuan	1	0.347603833866
Badminton	7	0.11054313099
movie	2	1.67987220447
Navy	5	0.0581469648562
Japan_Travel	1	0.669009584665
Agriculture	11	0.102236421725
PublicBike	5	0.0543130990415
