board	degree	nordegree
WorkinChina	2	1.97103274559
VISA	1	0.996180776575
Immigration	1	0.994282083863
France	1	0.994282083863
Volunteer	1	0.991133628879
Life	1	0.985516372796
FongShan	1	0.983658076681
Singapore	1	0.983040201005
Aussiekiwi	1	0.979349186483
studyabroad	1	0.97507788162
toberich	1	0.93824940048
job	1	0.937687237867
learnyf	1	0.928783382789
NewActivity	1	0.924394565859
PlayStation	1	0.872838817624
NTU	1	0.85989010989
Kaohsiung	1	0.781718281718
Wanted	1	0.495253164557
Gossiping	1	0.240695170717
