board	degree	nordegree
DC	2	195.625
FixMyHouse	1	68.0434782609
Nantou	2	52.6050420168
swim	2	39.872611465
Ecophilia	2	36.3953488372
sky	2	34.7777777778
Olympics_ISG	2	28.1981981982
Jinmen	1	26.0833333333
basketballTW	1	22.3571428571
EarthScience	1	22.0422535211
Bus	2	21.9649122807
AirForce	1	21.1486486486
PublicBike	1	18.4117647059
Cga	1	18.1976744186
Navy	1	17.1978021978
Oceanography	1	15.1941747573
juniorhigh	1	13.4913793103
V_ScHooL	1	12.9338842975
Korea_Travel	1	11.7669172932
Food	3	11.3497179694
Soccer	2	11.2996389892
Agriculture	1	9.78125
Militarylife	2	9.32935916542
MRT	2	9.04624277457
Badminton	1	9.04624277457
Gossiping	13	8.83737636995
Kaohsiung	3	8.75932835821
I-Lan	1	8.50543478261
Chat82gether	2	7.33021077283
Tennis	1	6.89427312775
Post	1	6.83406113537
Railway	2	6.65957446809
Road	1	5.04838709677
Hsinchu	1	2.35692771084
Aviation	1	2.20422535211
CrossStrait	1	1.98856416773
Tainan	1	0.852861035422
Baseball	2	0.836339345357
IA	1	0.727906976744
movie	1	0.59528337771
MenTalk	1	0.465635227611
WomenTalk	1	0.31287485006
