board	degree	nordegree
Perfume	21	16050.3488372
BeautyMarket	72	4860.9706411
forsale	152	1888.92278759
poetry	1	521.666666667
HelpBuy	24	259.556579326
Post	6	246.026200873
Clothes	31	237.443163877
watch	4	186.865671642
NightLife	3	160.056818182
Steam	6	151.859838275
CareerLady	2	92.0588235294
Palmar_Drama	8	76.6921898928
Chat82gether	6	65.9718969555
SwimWear	1	65.2083333333
friends	4	48.7159533074
Jewelry	1	38.1707317073
Chiayi	2	35.3672316384
give	5	32.8781512605
equal_change	4	32.3514211886
Gamesale	5	27.3028611305
RockMetal	1	26.0833333333
photo-buy	1	23.3582089552
HsinChuang	2	22.7636363636
stationery	1	19.0853658537
NTU	4	17.8729478944
Keelung	1	13.6086956522
mobilesales	3	13.1758652947
MakeUp	1	12.0384615385
EuropeTravel	1	11.6791044776
Taoyuan	2	11.5073529412
Headphone	1	9.8427672956
BeautySalon	1	9.20588235294
Tainan	3	7.6757493188
cat	1	6.28514056225
BigBanciao	1	5.28716216216
BabyProducts	2	4.11300919842
Neihu	1	3.0626223092
Hsinchu	1	2.35692771084
HardwareSale	1	1.5313111546
Gossiping	4	0.836674685913
Drama-Ticket	1	0.715265082267
Baseball	1	0.209084836339
