board	degree	nordegree
forsale	90	6.80204761675
Perfume_Shop	6	4.79570990807
Miaoli	5	4.55471478463
friends	6	4.51659451659
Tai-travel	5	4.51268742791
NTU	8	4.22117329737
give	6	3.40834845735
CareerLady	3	2.87507654623
travel	4	2.75406951166
Examination	3	2.48281332628
Taipei	3	2.39052953157
Aquarium	2	1.95258889582
swim	2	1.81765389082
Ecophilia	2	1.80195739781
sky	2	1.79369627507
Hate	22	1.78477010005
Olympics_ISG	2	1.751538892
Bus	2	1.69189189189
Food	3	1.6732002851
Soccer	2	1.47711184521
Militarylife	2	1.39982110912
MRT	2	1.3867966327
Tainan	3	1.38088235294
Aviation	2	1.37582417582
Railway	2	1.249500998
HardwareSale	2	1.20989563201
Employee	1	0.998723675814
IntlShopping	1	0.991133628879
N_E_Coastal	1	0.981806775408
basketballTW	1	0.957186544343
PH-sea	1	0.956601466993
EarthScience	1	0.956601466993
AirForce	1	0.954850518609
PublicBike	1	0.948484848485
Cga	1	0.947910357359
Navy	1	0.945048309179
Coffee	1	0.945048309179
LicenseShop	1	0.940504807692
Oceanography	1	0.93824940048
juniorhigh	1	0.930993456276
V_ScHooL	1	0.928232502966
Korea_Travel	1	0.921672555948
Agriculture	1	0.907246376812
Badminton	1	0.900460299194
THU_Talk	1	0.899425287356
Daan	1	0.892246294185
Tennis	1	0.873325892857
Road	1	0.834666666667
Test	2	0.827385672746
marriage	1	0.822818086225
ShuangHe	1	0.82066072365
CrossStrait	1	0.665391156463
Gamesale	1	0.522014676451
Kaohsiung	1	0.493224078159
IA	1	0.421265141319
Baseball	2	0.345856353591
MenTalk	1	0.317701989444
Gossiping	5	0.248467913505
