board	degree	nordegree
heart	10	6.59780775717
Diary	10	5.008
prozac	4	3.62898550725
ask	5	3.1964869281
Child_Psy	3	2.93071161049
Health_Life	2	1.92852741836
Hearthstone	2	1.48200757576
hypnotism	1	0.999361430396
eat-disorder	1	0.995547073791
Map-Guide	1	0.993020304569
Hamster	1	0.991761723701
pay_home	1	0.989879822897
Reptile	1	0.9861373661
Pharmacy	1	0.98427672956
study	1	0.983658076681
elderly	1	0.983040201005
Doctor-Info	1	0.973258706468
Suckcomic	1	0.870895937674
marvel	1	0.851005981512
historia	1	0.748445719751
Salary	1	0.736470588235
Beauty	1	0.57137641475
LoL	2	0.52667003197
sex	1	0.452835648148
MenTalk	1	0.317701989444
