board	degree	nordegree
GambleGhost	12142	2027372.05448
KingOne	144	41873.3419355
give	177	41201.5840336
HelpBuy	177	14117.4445724
Talent	5	7825.0
BaseballNEWS	696	6922.56663592
ChrisLiao	5	5589.28571429
Diary	70	4915.70512821
Steam	32	4319.56873315
heart	46	4103.51920694
LeicesterCFC	18	3380.4
streetfight	9	2948.02325581
AngelPray	3	2817.0
NCCU	14	2814.12844037
Plant	19	2615.5787037
NBA	68	2395.41873552
OverWatch	17	2133.41981132
book	13	1593.28313253
movie	51	1548.33206542
Eason	15	1169.85049834
Key_Mou_Pad	10	899.425287356
dance	3	880.3125
LoL	46	756.404751028
Test	32	722.524797115
Gossiping	111	644.291800321
Drama-Ticket	30	643.73857404
TimmyJohnny	4	610.731707317
TaiwanDrama	20	515.650741351
ask	15	398.782559456
ascii_wanted	1	391.25
juniorhigh	5	337.284482759
Android	5	230.147058824
sky	5	217.361111111
SummonsBoard	4	215.862068966
CLOCA	3	207.132352941
BL	2	169.189189189
Design	3	131.635514019
Math	2	118.113207547
Baseball	23	110.605878424
Hate	35	108.153277671
Hualien	2	55.3982300885
Bus	3	49.4210526316
Beauty	6	47.9897785349
SuperHeroes	3	47.2651006711
BlizzHeroes	2	46.0294117647
Q_ary	1	43.4722222222
AC_In	3	40.474137931
HandMade	1	37.2619047619
Lottery	1	29.5283018868
Wanted	13	21.1115102171
sex	5	20.6901110524
lyrics	4	18.0924855491
C_Chat	6	12.7437231396
ToS	1	10.0320512821
Elephants	8	8.42034468264
I.O.I	1	7.74752475248
forsale	7	4.00611221398
talk	3	2.85410334347
weiyin	2	2.5932062966
Rhinos	5	2.13681048607
joke	1	0.87822671156
CMWang	1	0.583302273574
Lions	1	0.499202551834
Monkeys	1	0.368755890669
