board	degree	nordegree
optical	2	329.473684211
C_Chat	19	127.791223705
Suckcomic	4	107.931034483
StrikeShoot	1	104.333333333
WOW	4	103.900414938
AC_In	4	71.9540229885
Gossiping	36	67.7706495589
FJU	1	52.1666666667
Test	5	17.6397655546
NCHUS	1	16.4736842105
Hearthstone	2	11.4442413163
EAseries	1	9.72049689441
Militarylife	2	9.32935916542
ONE_PIECE	1	6.89427312775
LoL	4	5.71950662403
japanavgirls	1	5.45296167247
GossipPicket	2	4.99600957702
biker	1	2.72173913043
MenTalk	1	0.465635227611
Hate	1	0.0882883899357
