board	degree	nordegree
ToS	24	5778.46153846
Conan	9	4875.57692308
jhs_30_5	2	3130.0
WarCraft	2	1565.0
MA	1	1565.0
ChainChron	3	741.315789474
WhiteCat	4	676.756756757
SailorMoon	4	532.765957447
CNU	1	313.0
Rockman	1	260.833333333
SummonersWar	1	223.571428571
Touhou	1	195.625
battlegirlhs	4	115.925925926
joke	9	71.1363636364
SummonsBoard	2	53.9655172414
EatToDie	1	41.1842105263
AC_In	3	40.474137931
Wargaming	1	28.9814814815
C_Chat	7	17.3456231622
TuCheng	1	15.1941747573
TypeMoon	1	10.5033557047
OverWatch	1	7.3820754717
gay	1	6.36178861789
Gossiping	11	6.32735231222
Hunter	1	5.7962962963
StupidClown	1	3.85467980296
Rent_tao	1	3.58944954128
Hearthstone	1	2.86106032907
Test	2	2.82236248873
biker	1	2.72173913043
Stock	1	1.81765389082
MacShop	1	1.4598880597
LoL	2	1.42987665601
MenTalk	1	0.465635227611
