board	degree	nordegree
Raptors	72	2682.85714286
FAPL	72	2299.59183673
Hornets	56	2030.55026893
tabletennis	48	1710.51233397
BLAZERS	44	1570.67910835
G-S-WARRIORS	40	1406.74157303
GO	36	1270.0313087
LaClippers	28	979.217877095
PACERS	28	968.397790055
Thunder	28	951.131782946
MiamiHeat	28	921.141141141
Hawks	24	834.666666667
CN_Entertain	28	779.517153748
Palmar_Drama	24	690.229709035
Cavaliers	20	681.917211329
NTU	24	643.426124197
FCBarcelona	12	410.491803279
ChicagoBulls	12	410.491803279
Nets	8	272.173913043
Celtics	8	241.34939759
Atletico	8	219.649122807
ManCity	5	209.22459893
Soccer	8	180.794223827
Wizards	4	135.351351351
Orl-Magic	4	135.351351351
Lionel_Messi	4	135.351351351
LFP	4	135.351351351
CONCACAF	4	135.351351351
BVB_09	4	135.351351351
Argentina	4	135.351351351
Bundesliga	4	133.903743316
FCBayern	4	129.072164948
ManUtd	4	111.785714286
C_Chat	16	90.6220312147
SuperHeroes	4	84.0268456376
car	6	57.024291498
MLB	4	23.2066728452
Elephants	12	18.9457755359
Keelung	1	13.6086956522
Rhinos	8	5.47023484435
AllTogether	1	0.922759433962
