board	degree	nordegree
learnyf	21	19.5044510386
NewActivity	12	11.0927347903
Calendar	8	7.80062305296
speech	6	5.89084065245
Taipei	4	3.65654205607
joke	4	3.14572864322
Daan	3	2.84200968523
Magic_info	2	1.99617346939
CFP	2	1.97725837018
TOEIC	2	1.95015576324
Hsinchu	2	1.66400850611
Broker	1	0.995547073791
Campus-plan	1	0.994914176732
Trading	1	0.993650793651
GMAT	1	0.993650793651
GRE	1	0.993020304569
Marketing	1	0.991761723701
ServiceInfo	1	0.988005050505
HRM	1	0.988005050505
TOEFL_iBT	1	0.984896161108
IELTS	1	0.983040201005
Language	1	0.980576441103
share	1	0.979349186483
scholarship	1	0.979349186483
TIT	1	0.979349186483
STUST	1	0.979349186483
NUU_Talk	1	0.979349186483
NUU_ID	1	0.979349186483
NUU-ARCHI	1	0.979349186483
NTUST-ARCH	1	0.979349186483
NTCUST	1	0.979349186483
NTCU	1	0.979349186483
NFU	1	0.979349186483
Lan_Yang	1	0.979349186483
LTU	1	0.979349186483
KSU	1	0.979349186483
HungKuang	1	0.979349186483
CHU	1	0.979349186483
NYUST	1	0.978736710444
NDHU	1	0.978125
CTUST	1	0.977514053716
unemployed	1	0.976903870162
NCNU	1	0.976903870162
ASIA-uni	1	0.976903870162
NCUT	1	0.97629444791
FCU_Talk	1	0.97629444791
YZU_Talk	1	0.97507788162
NHCUE-Talk	1	0.97507788162
OCU	1	0.974470734745
CYUT	1	0.973258706468
PU_Family	1	0.97265382225
drawing	1	0.969040247678
Design	1	0.967243510507
NTUST_Talk	1	0.966646077826
THU_Talk	1	0.961893054702
Teacher	1	0.959534028204
NCHUS	1	0.956017104459
V_ScHooL	1	0.945619335347
toberich	1	0.93824940048
part-time	1	0.858946212953
Taoyuan	1	0.845032397408
Drama-Ticket	1	0.821953781513
Test	1	0.775520317146
