board	degree	nordegree
Rent_tao	45	7268.6353211
Rent_ya	21	2150.04672897
TKU_Talk	1	313.0
TallClub	1	260.833333333
MoveHouse	3	213.409090909
Therapist	1	195.625
forsale	45	165.558719047
cat	4	100.562248996
BabyProducts	9	83.2884362681
yoga	1	48.90625
Taoyuan	4	46.0294117647
CTUST	1	43.4722222222
San-Ying	1	32.6041666667
rent-exp	1	31.3
home-sale	3	24.7105263158
BigSanchung	2	22.8467153285
give	4	21.0420168067
PttLifeLaw	1	19.0853658537
NCHUS	1	16.4736842105
tax	1	14.7641509434
Hualien	1	13.8495575221
TaichungBun	3	13.8088235294
Neihu	2	12.2504892368
watch	1	11.6791044776
BigBanciao	1	5.28716216216
ShuangHe	1	4.57602339181
Kaohsiung	2	3.89303482587
NTU_GoodLife	1	3.20696721311
part-time	1	2.59105960265
Hsinchu	1	2.35692771084
mobilesales	1	1.46398503274
Wanted	3	1.1242816092
joke	1	0.87822671156
Tainan	1	0.852861035422
Gossiping	2	0.209168671478
