board	degree	nordegree
Rent_ya	44	41.8093503339
Rent_apart	12	11.5003061849
Tainan	6	4.33317951084
FJU_RENT	3	2.9847425302
forsale	7	2.52361207095
Wanted	5	2.47626582278
TKU_info	2	1.98982835346
Interior	2	1.96484620213
THSRshare	2	1.95747342089
Sijhih	2	1.93448702101
Nangang	2	1.92496924969
NCHUS	2	1.91203420892
cat	2	1.80715935335
Hsinchu	2	1.66400850611
give	2	1.57128514056
TaichungBun	2	1.47711184521
DirectSales	1	0.995547073791
NSYSU	1	0.994282083863
rent-exp	1	0.986759142497
WorkinChina	1	0.985516372796
facelift	1	0.978736710444
ASIA-uni	1	0.976903870162
Wen-Shan	1	0.97507788162
shoes	1	0.973864343497
CYUT	1	0.973258706468
Road_Running	1	0.970843672457
Soft_Job	1	0.969640644362
PuzzleDragon	1	0.969040247678
HsinYi	1	0.967243510507
TuCheng	1	0.963669950739
Gossiping	4	0.962780682867
Tour-Agency	1	0.962484624846
SongShan	1	0.956017104459
car-pool	1	0.946191051995
MakeUp	1	0.943339361061
I-Lan	1	0.9393757503
Chiayi	1	0.93544530783
SportsShop	1	0.921130076516
Taipei	1	0.914135514019
HsinChuang	1	0.913601868068
Neihu	1	0.912004662005
BigBanciao	1	0.908299477655
ShuangHe	1	0.900460299194
barterbooks	1	0.885681946802
e-coupon	1	0.87675070028
Diary	1	0.873813512004
Salary	1	0.862258953168
part-time	1	0.858946212953
Stock	1	0.854257641921
Taoyuan	1	0.845032397408
BabyMother	1	0.834221748401
BuyTogether	1	0.827604442094
BabyProducts	1	0.800511508951
Japan_Travel	1	0.798469387755
HardwareSale	1	0.790803436079
joke	1	0.786432160804
MacShop	1	0.786432160804
Test	1	0.775520317146
Clothes	1	0.730625583567
mobilesales	1	0.723532131299
Baseball	1	0.56539017341
