board	degree	nordegree
RhinoRookies	10512	1362.19922166
CMWang	328	120.838041431
Lions	349	116.209574468
Elephants	943	109.643016345
Monkeys	354	95.3709760716
BaseballXXXX	93	50.9968465312
BaseballNEWS	3480	49.0304110625
weiyin	124	48.771048002
Baseball	250	43.2320441989
GambleGhost	1310	17.7702175609
FAPL	52	15.9787944237
Aviation	18	12.3824175824
Raptors	36	12.2771845718
Hornets	28	11.0045203415
tabletennis	24	10.2259733188
BLAZERS	22	9.85403548941
G-S-WARRIORS	20	9.35724962631
GO	18	8.90891840607
TY_Research	10	8.5146898803
LaClippers	14	7.77501774308
PACERS	14	7.7365819209
Thunder	14	7.67425569177
MiamiHeat	14	7.56299620297
Hawks	12	7.10018903592
CN_Entertain	14	6.97992991399
Palmar_Drama	12	6.54127481714
NTU	12	6.33175994606
Cavaliers	10	6.30285944422
Japan_Travel	10	5.99157733538
RealMadrid	8	5.40120793788
CHLin	5	4.93690851735
FCBarcelona	6	4.44181646168
ChicagoBulls	6	4.44181646168
TAXI	4	3.73063170441
HsinChuang	4	3.40217391304
TaiwanDrama	6	3.37891327816
Nets	4	3.23848939472
Celtics	4	3.16161616162
Atletico	4	3.09747649678
Soccer	4	2.95422369042
MLB-TW	3	2.94542032622
Gamesale	5	2.61007338225
Gossiping	50	2.48467913505
Examination	3	2.48281332628
MobileComm	4	2.05921052632
SoftbankHawk	2	1.93808049536
points	2	1.86977299881
car	3	1.83901292597
I-Lan	2	1.78959405374
Wizards	2	1.78857142857
Orl-Magic	2	1.78857142857
Lionel_Messi	2	1.78857142857
LFP	2	1.78857142857
CONCACAF	2	1.78857142857
BVB_09	2	1.78857142857
Argentina	2	1.78857142857
ManCity	2	1.78652968037
Bundesliga	2	1.78652968037
FCBayern	2	1.77942012507
MLB	3	1.77571860817
FORMULA1	2	1.76338028169
ManUtd	2	1.74958077138
SuperHeroes	2	1.68008588298
GossipPicket	3	1.66607523066
home-sale	2	1.46604215457
biker	2	1.46261682243
MRT	2	1.3867966327
movie	3	1.11945636624
NBA	3	1.02376798953
Delivery	1	0.995547073791
postcrossing	1	0.984896161108
SMSlife	1	0.970843672457
fastfood	1	0.969640644362
DSLR	1	0.956601466993
TW_Entertain	1	0.951367781155
HatePolitics	3	0.950982377962
einvoice	1	0.941636582431
Tainan	2	0.920588235294
Bank_Service	1	0.907246376812
BoardGame	1	0.896848137536
AKB48	1	0.860836083608
marvel	1	0.851005981512
iPhone	1	0.797249108507
ChangHua	1	0.775904809122
Tech_Job	1	0.747730530339
Hearthstone	1	0.741003787879
WomenTalk	3	0.714938328004
Hsinchu	1	0.702108568865
Stock	1	0.645094806265
PttEarnMoney	5	0.497583619484
Kaohsiung	1	0.493224078159
forsale	4	0.302313227411
LoL	1	0.263335015985
C_Chat	1	0.261443367858
talk	1	0.240769230769
Hate	2	0.162251827277
