board	degree	nordegree
KR_Entertain	144	56.0597014925
GirlsDay	6	5.00266382525
EXID	6	4.9085206482
TWICE	6	3.93216080402
BlockB	4	3.3493846977
JYPnation	4	3.20532514081
YGFamily	4	3.1955079122
SuperJunior	4	2.93896713615
SecretGirls	2	1.87537447573
Rainbow	2	1.87537447573
KR_1N2D	2	1.87537447573
KARA	2	1.87537447573
JoonYoung	2	1.87537447573
BraveSound	2	1.87537447573
ZEA	2	1.87200956938
We2NE1	2	1.87200956938
AfterSchool	2	1.87200956938
JessicaJung	2	1.85756676558
NineMuses	2	1.85646500593
MAMAMOO	2	1.82400932401
AOA	2	1.8134414832
APINK	2	1.40990990991
