board	degree	nordegree
ShuangHe	2	1.80092059839
WomenTalk	2	1.08379501385
Ocean	1	0.996815286624
CD-R	1	0.996815286624
Delivery	1	0.995547073791
Jolin	1	0.988629185092
postcrossing	1	0.988005050505
DSLR	1	0.967243510507
ToS	1	0.960122699387
SongShan	1	0.956017104459
BoardGame	1	0.953105968331
NTU_GoodLife	1	0.943908323281
Hunter	1	0.937125748503
marvel	1	0.933770883055
ChangHua	1	0.91788856305
Palmar_Drama	1	0.891737891738
Salary	1	0.862258953168
Tech_Job	1	0.860836083608
Rhinos	1	0.819800942902
Elephants	1	0.803800719055
MacShop	1	0.786432160804
Kaohsiung	1	0.781718281718
TaichungBun	1	0.738555922605
mobilesales	1	0.723532131299
HatePolitics	1	0.721198156682
forsale	2	0.721032020272
C_Chat	1	0.610612563402
Baseball	1	0.56539017341
Gossiping	1	0.240695170717
