Name	Degree	NorDegree
Gov_owned	1	0.0127795527157
shoes	1	0.0408945686901
home-sale	12	0.364217252396
Tour-Manager	1	0.0115015974441
biker	11	0.367412140575
Examination	6	0.208306709265
SailorMoon	3	0.0300319488818
PublicServan	4	0.0402555910543
WomenTalk	33	3.19616613419
lyrics	1	0.884345047923
Boy-Girl	7	0.451757188498
Steam	1	0.237060702875
ChungLi	3	0.131629392971
unemployed	1	0.0300319488818
watch	1	0.0856230031949
CATCH	2	0.0907348242812
historia	1	0.336102236422
Laser_eye	1	0.023642172524
iPhone	3	0.254313099042
Donate-Blood	1	0.0115015974441
Gossiping	137	19.1233226837
AdvEduUK	1	0.00958466453674
gallantry	1	0.0945686900958
AllTogether	3	1.08370607029
HatePolitics	4	2.15463258786
TWSU	1	0.00766773162939
ChemEng	1	0.00191693290735
car	6	0.631309904153
China-Drama	3	0.0888178913738
LAW	1	0.0543130990415
Hate	2	11.3265175719
Koei	1	0.0485623003195
Statistics	2	0.0121405750799
ShuangHe	3	0.218530351438
Soft_Job	2	0.0453674121406
Publish	3	0.0153354632588
sex	3	1.20830670927
Kaohsiung	6	1.02747603834
AC_In	2	0.222364217252
Nurse	2	0.0408945686901
mobilesales	1	0.683067092652
StupidClown	1	0.259424920128
WorkinChina	1	0.0223642172524
MenTalk	16	2.14760383387
movie	20	1.67987220447
OverWatch	1	0.135463258786
ForeignEX	1	0.0396166134185
EAseries	2	0.102875399361
Economics	1	0.00255591054313
C_Chat	11	2.8249201278
Rent_tao	1	0.278594249201
ask	4	0.564217252396
TaichungBun	2	0.651757188498
SuperBike	10	0.0466453674121
JOB-Hunting	1	0.0345047923323
Gemini	1	0.029392971246
Navy	1	0.0581469648562
forsale	35	12.2313099042
I-Lan	1	0.117571884984
e-coupon	1	0.493290734824
battlegirlhs	3	0.138019169329
Palmar_Drama	1	0.834504792332
Shu-Lin	2	0.0472843450479
CultureShock	1	0.00894568690096
MobileComm	1	0.94249201278
Anti-Fake	1	0.00575079872204
prozac	1	0.102236421725
Finance	4	0.0230031948882
friends	1	0.328434504792
SMSlife	1	0.0300319488818
Q_ary	2	0.0230031948882
LoL	1	2.79744408946
Baseball	3	4.78274760383
ServiceInfo	8	0.0159744408946
Wanted	13	8.00511182109
SevenKnights	1	0.0198083067093
Tech_Job	25	0.337380191693
PC_Shopping	2	0.240255591054
SHORTY	1	0.0038338658147
Eng-Class	1	0.109265175719
CareerPlan	1	0.0313099041534
Hsinchu	9	0.42428115016
BeautyMarket	1	1.06645367412
elderly	2	0.0172523961661
Psychiatry	1	0.0351437699681
Clothes	5	4.04728434505
Tour-Agency	4	0.0696485623003
ManUtd	1	0.143130990415
studyabroad	2	0.0428115015974
BikerShop	1	0.626837060703
NTU	1	0.895207667732
cat	1	0.15910543131
L_TalkandCha	5	0.246645367412
ONE_PIECE	1	0.145047923323
Japan_Travel	1	0.669009584665
MMA	1	0.0568690095847
fashion	4	0.0140575079872
mobile-game	1	0.038338658147
Militarylife	1	0.42875399361
tax	2	0.067731629393
PhD	3	0.0472843450479
Bioindustry	1	0.0108626198083
Hong_Kong	1	0.0178913738019
travel	4	0.452396166134
Hearthstone	1	0.349520766773
Teacher	13	0.0926517571885
CS_TEACHER	1	0.0121405750799
MLB	1	0.68945686901
License	1	0.0038338658147
CD-R	1	0.00319488817891
JinYong	3	0.00894568690096
e-shopping	1	0.182108626198
Hualien	1	0.0722044728435
CareerLady	3	0.0434504792332
dog	1	0.115654952077
NBA_Film	5	0.509265175719
Taoyuan	1	0.347603833866
part-time	1	0.385942492013
marvel	1	0.175079872204
drawing	1	0.0670926517572
AfterPhD	6	0.0268370607029
SongShan	1	0.088178913738
