board	degree	nordegree
BigBanciao	4	3.36378291241
Shu-Lin	3	2.86455155583
BabyProducts	5	2.53482345319
Taoyuan	3	2.22617354196
HsinTien	2	1.84988179669
HsinChuang	2	1.70108695652
ShuangHe	2	1.6413214473
equal_change	2	1.33817870885
give	2	1.13611615245
funeral	1	0.994282083863
NTPU_TALK	1	0.993020304569
HsinYi	1	0.940504807692
LinKou	1	0.93993993994
job	1	0.910413030832
Rent_apart	1	0.900978698906
I-Lan	1	0.894797026872
GetMarry	1	0.872352285396
Tech_Job	1	0.747730530339
Hsinchu	1	0.702108568865
BuyTogether	1	0.619801980198
BikerShop	1	0.614689709348
TaichungBun	1	0.605415860735
mobilesales	1	0.594153378891
forsale	7	0.529048147969
BeautyMarket	1	0.483920841064
HelpBuy	1	0.310639142517
