board	degree	nordegree
GossipPicket	24	13.3286018453
MenTalk	15	4.76552984166
e-coupon	6	4.01797175866
Rent_tao	5	3.91054472764
give	6	3.40834845735
Nangang	3	2.77318369758
TNFSH102nd	3	2.49866950506
Army-Sir	2	1.99490121096
PttLifeLaw	2	1.90042501518
ID_Multi	2	1.81029496819
Tech_Job	2	1.49546106068
egg-exchange	1	0.989879822897
Volleyball	1	0.98738170347
StudyGroup	1	0.979962429555
NailSalon	1	0.979962429555
Interior	1	0.976903870162
Aves	1	0.97265382225
GraduateCram	1	0.967243510507
Ptt-Press	1	0.964263709181
Wei-Lun	1	0.961302211302
Hualien	1	0.932657926103
SongShan	1	0.918966529654
toberich	1	0.913601868068
BigShiLin	1	0.912004662005
ToS	1	0.909355026148
dog	1	0.896334478809
Daan	1	0.892246294185
cat	1	0.862734288864
BigSanchung	1	0.851005981512
Taipei	1	0.796843177189
Neihu	1	0.753853564547
BabyMother	1	0.743467933492
car	1	0.613004308656
BabyProducts	1	0.506964690638
BeautyMarket	1	0.483920841064
talk	2	0.481538461538
AllTogether	1	0.479914136768
Gossiping	9	0.447242244308
forsale	5	0.377891534264
Wanted	3	0.333144114099
Monkeys	1	0.269409536925
Hate	1	0.0811259136385
