board	degree	nordegree
ACMilan	2	3130.0
RS	6	1565.0
CGI-Game	4	963.076923077
FAPL	40	709.750566893
Raptors	36	670.714285714
Hornets	28	507.637567232
Olympics_ISG	8	451.171171171
Hattrick	2	447.142857143
Little-Games	4	439.298245614
tabletennis	24	427.628083491
BLAZERS	22	392.669777087
G-S-WARRIORS	20	351.685393258
Ecophilia	6	327.558139535
GO	18	317.507827176
sky	6	313.0
PublicBike	4	294.588235294
ManUtd	6	251.517857143
swim	5	249.203821656
LaClippers	14	244.804469274
Agriculture	5	244.53125
PACERS	14	242.099447514
Thunder	14	237.782945736
MiamiHeat	14	230.285285285
Hawks	12	208.666666667
EarthScience	3	198.38028169
CN_Entertain	14	194.879288437
Palmar_Drama	12	172.557427259
Cavaliers	10	170.479302832
NTU	12	160.856531049
Navy	3	154.78021978
Bus	5	137.280701754
Oceanography	3	136.747572816
RealMadrid	8	133.014608234
Road	5	126.209677419
Tennis	4	110.308370044
Railway	8	106.553191489
Korea_Travel	3	105.902255639
FCBarcelona	6	102.62295082
ChicagoBulls	6	102.62295082
basketballTW	2	89.4285714286
PH-sea	2	88.1690140845
AirForce	2	84.5945945946
Badminton	3	81.4161849711
Cga	2	72.7906976744
medache	1	71.1363636364
Nets	4	68.0434782609
Golf	1	62.6
Celtics	4	60.3373493976
Militarylife	5	58.3084947839
MRT	5	56.539017341
Old-Games	2	55.8928571429
Atletico	4	54.9122807018
juniorhigh	2	53.9655172414
V_ScHooL	2	51.7355371901
China_travel	2	42.5850340136
Baseball	14	40.9806279225
Wizards	2	33.8378378378
Orl-Magic	2	33.8378378378
Lionel_Messi	2	33.8378378378
LFP	2	33.8378378378
CONCACAF	2	33.8378378378
BVB_09	2	33.8378378378
Argentina	2	33.8378378378
ManCity	2	33.4759358289
Bundesliga	2	33.4759358289
FCBayern	2	32.2680412371
CrossStrait	4	31.8170266836
Post	2	27.3362445415
Jinmen	1	26.0833333333
SuperHeroes	2	21.0067114094
Aviation	3	19.838028169
Gossiping	19	18.8774726009
IA	5	18.1976744186
TW-history	1	9.60122699387
KoreaStar	1	8.89204545455
I.O.I	1	7.74752475248
MLB	2	5.80166821131
TY_Research	1	5.7326007326
Elephants	6	4.73644388398
NBA	3	4.66236345581
Tainan	2	3.41144414169
Tech_Job	1	2.96401515152
home-sale	1	2.74561403509
movie	2	2.38113351084
Rhinos	4	1.36755871109
