board	degree	nordegree
Tech_Job	16	11.9636884854
job	8	7.28330424666
Finance	3	2.93254216115
Design	3	2.80801435407
Trading	2	1.9835234474
AfterPhD	2	1.94772868699
CareerPlan	2	1.93928128872
Salary	2	1.47294117647
give	2	1.13611615245
RDSS	1	0.999361430396
java	1	0.997450605481
Trace	1	0.994282083863
Web_Design	1	0.990506329114
AndroidDev	1	0.990506329114
Publish	1	0.984896161108
Wine	1	0.981191222571
PSY	1	0.979962429555
tutor	1	0.97629444791
Language	1	0.97629444791
soho	1	0.971446306642
studyabroad	1	0.958946078431
Windows	1	0.937125748503
toberich	1	0.913601868068
PC_Shopping	1	0.806285419887
Rent_tao	1	0.782108945527
Food	1	0.557733428368
MobileComm	1	0.514802631579
Kaohsiung	1	0.493224078159
Gossiping	9	0.447242244308
Wanted	2	0.222096076066
Baseball	1	0.172928176796
