board	degree	nordegree
popmusic	2	1.94651741294
prozac	2	1.81449275362
AllTogether	3	1.4397424103
TaichungBun	2	1.21083172147
newagemusic	1	0.997450605481
DistantLove	1	0.993650793651
Taurus	1	0.982423101067
Office	1	0.979349186483
RockMetal	1	0.963076923077
guitar	1	0.959534028204
HsinYi	1	0.940504807692
HsinTien	1	0.924940898345
Nangang	1	0.924394565859
SongShan	1	0.918966529654
BigShiLin	1	0.912004662005
Accounting	1	0.906195715113
Android	1	0.902017291066
BigBanciao	1	0.840945728103
Neihu	1	0.753853564547
lyrics	1	0.530688368939
forsale	1	0.0755783068528
Gossiping	1	0.0496935827009
