board	degree	nordegree
outdoorgear	4	2504.0
forsale	114	1062.51906802
Vocal	1	782.5
bicycle	8	725.797101449
Badminton	6	325.664739884
DC_SALE	7	313.0
BeautyBody	2	298.095238095
DiabloEX	4	252.929292929
MoveHouse	3	213.409090909
jersey	1	173.888888889
shoes	2	97.8125
Neihu	5	76.5655577299
GoodPregnan	1	62.6
AnimalGoods	1	60.1923076923
Keelung	2	54.4347826087
Yunlin	2	53.9655172414
isLandTravel	1	48.90625
mobilesales	5	36.5996258185
model	1	28.4545454545
Wanted	15	28.1070402299
littlegift	1	26.5254237288
BabyProducts	5	25.7063074901
MacShop	4	23.3582089552
photo-buy	1	23.3582089552
marriage	2	18.5756676558
Coffee	1	17.1978021978
Gossiping	17	15.1124365143
CarShop	1	11.5925925926
Taoyuan	2	11.5073529412
Teacher	1	10.7931034483
Hsinchu	2	9.42771084337
Chiayi	1	8.8418079096
E-appliance	1	8.64640883978
AllTogether	3	8.30483490566
HelpBuy	4	7.20990498128
GetMarry	1	6.83406113537
car	2	6.33603238866
SENIORHIGH	1	6.33603238866
cat	1	6.28514056225
HardwareSale	2	6.1252446184
MuscleBeach	1	5.16501650165
Ind-travel	1	4.10761154856
Rent_tao	1	3.58944954128
Boy-Girl	1	2.21357850071
travel	1	2.2104519774
e-coupon	1	2.02720207254
BuyTogether	1	1.63020833333
give	1	1.31512605042
NTU	1	1.1170592434
MobileComm	1	1.06101694915
Clothes	1	0.247079254815
