board	degree	nordegree
Live	11	10.4396604002
C_Chat	7	4.27428794382
Gossiping	17	4.09181790218
PttEarnMoney	4	3.43956043956
Shooter-game	3	2.9752851711
OverWatch	3	2.86455155583
Gamesale	3	2.36881937437
joke	3	2.35929648241
MobileComm	3	2.3300248139
Key_Mou_Pad	2	1.89467312349
Perfume_Shop	2	1.84988179669
PC_Shopping	2	1.82827102804
Hearthstone	2	1.78449258837
nb-shopping	2	1.78347578348
PlayStation	2	1.74567763525
Boy-Girl	2	1.7066521265
Kaohsiung	2	1.56343656344
LoL	2	1.29499379396
Baseball	2	1.13078034682
WomenTalk	2	1.08379501385
AviationGame	1	0.999361430396
StarWars	1	0.998723675814
MercStoria	1	0.998723675814
Army-Sir	1	0.998086734694
Modchip	1	0.994914176732
DigiCurrency	1	0.994914176732
Emulator	1	0.993020304569
NARUTO	1	0.990506329114
Powerful_PRO	1	0.988629185092
NDS	1	0.986759142497
Aves	1	0.985516372796
NCU_Talk	1	0.982423101067
Pet_Get	1	0.981806775408
AOA	1	0.980576441103
XBOX	1	0.979962429555
medstudent	1	0.979349186483
Browsers	1	0.973864343497
ID_Problem	1	0.973258706468
ClashRoyale	1	0.969040247678
FORMULA1	1	0.964858199753
BaseballXXXX	1	0.963669950739
WOW	1	0.961302211302
ToS	1	0.960122699387
Atletico	1	0.949060036386
PingTung	1	0.937687237867
SENIORHIGH	1	0.933770883055
dog	1	0.932657926103
AC_In	1	0.930993456276
StupidClown	1	0.922759433962
Palmar_Drama	1	0.891737891738
Monkeys	1	0.890722822994
iPhone	1	0.883681535855
biker	1	0.883681535855
Militarylife	1	0.881690140845
Salary	1	0.862258953168
Stock	1	0.854257641921
BabyMother	1	0.834221748401
Food	1	0.789606458123
mobilesales	1	0.723532131299
HelpBuy	1	0.699910554562
Wanted	1	0.495253164557
