board	degree	nordegree
Option	51	50882.0625
Gossiping	367	7043.17979818
PublicIssue	26	1528.8150289
HatePolitics	57	1507.91370107
Linux	3	1006.07142857
egg-exchange	3	880.3125
Baseball	57	679.316633267
home-sale	14	538.140350877
Patent	1	391.25
CFP	3	370.657894737
BigSanchung	8	365.547445255
book	6	339.397590361
Gov_owned	2	313.0
pal	1	260.833333333
Foreign_Inv	1	260.833333333
sex	17	239.177683765
NBA	21	228.455809335
Printer3D	1	223.571428571
COC	4	221.592920354
bridge	1	195.625
Kaohsiung	14	190.758706468
Tech_Job	8	189.696969697
Boy-Girl	9	179.299858557
bass	1	173.888888889
Windows	3	134.142857143
Wanhua	1	130.416666667
money	2	122.745098039
facelift	2	122.745098039
Trading	1	120.384615385
Lottery	2	118.113207547
FishShrimp	2	111.785714286
Immigration	1	111.785714286
MabinogiHero	2	107.931034483
Contacts	2	104.333333333
PublicServan	2	99.3650793651
Master_D	1	97.8125
MobileComm	9	85.9423728814
Statistics	1	82.3684210526
Live	4	81.8300653595
Insurance	2	80.2564102564
car	7	77.6163967611
Browsers	2	77.2839506173
Examination	4	76.8098159509
Google	2	71.1363636364
Physics	1	71.1363636364
StarCraft	1	60.1923076923
tax	2	59.0566037736
creditcard	4	55.8928571429
Old-Games	2	55.8928571429
marvel	3	51.4051094891
PSY	1	48.90625
IA	8	46.5860465116
Taoyuan	4	46.0294117647
GTA	1	46.0294117647
Pet_Get	1	41.1842105263
Bank_Service	2	39.125
MenTalk	9	37.7164534365
Militarylife	4	37.3174366617
Doctor-Info	1	36.3953488372
WomenTalk	10	31.287485006
RockMetal	1	26.0833333333
ForeignEX	1	25.2419354839
cat	2	25.140562249
Notebook	1	23.7121212121
C_Chat	8	22.6555078037
japanavgirls	2	21.8118466899
Beauty	4	21.32879046
Steam	2	16.8733153639
PC_Shopping	2	16.6489361702
KanColle	2	16.0925449871
TuCheng	1	15.1941747573
Railway	3	14.9840425532
movie	5	14.8820844428
PuzzleDragon	1	14.6261682243
graduate	1	14.2272727273
Yunlin	1	13.4913793103
ClashRoyale	1	11.6791044776
TypeMoon	1	10.5033557047
LoL	5	8.93672910005
TaichungBun	2	6.13725490196
mobilesales	2	5.85594013096
TaiwanDrama	2	5.15650741351
nb-shopping	1	4.65773809524
iPhone	1	3.93216080402
Rent_tao	1	3.58944954128
ChangHua	1	3.46238938053
biker	1	2.72173913043
part-time	1	2.59105960265
Hsinchu	1	2.35692771084
MRT	1	2.26156069364
Aviation	1	2.20422535211
Wanted	4	1.99872286079
CrossStrait	1	1.98856416773
KoreanPop	1	1.73695893452
BuyTogether	1	1.63020833333
HardwareSale	1	1.5313111546
MacShop	1	1.4598880597
give	1	1.31512605042
GO	1	0.979962429555
AllTogether	1	0.922759433962
Hate	3	0.794595509421
forsale	3	0.735816529098
HelpBuy	1	0.45061906133
Rhinos	1	0.0854724194429
