board	degree	nordegree
MenTalk	82	3130.93127046
BABYMETAL	5	1057.43243243
WeiBird	4	658.947368421
KUAS	4	521.666666667
CCRomance	1	521.666666667
joke	21	387.297979798
CNU	1	313.0
SENIORHIGH	7	310.465587045
Wanted	48	287.816091954
Hate	52	238.731806386
Touhou	1	195.625
ai-photo	1	173.888888889
Modchip	1	173.888888889
Drum	1	173.888888889
marvel	5	142.791970803
Isayama	1	142.272727273
facelift	2	122.745098039
poem	2	111.785714286
gay	4	101.788617886
BandPlayer	1	92.0588235294
WomenTalk	16	80.0959616154
PttLifeLaw	2	76.3414634146
LAW	2	73.6470588235
Gamesale	7	53.5136078158
NDS	1	50.4838709677
bicycle	2	45.3623188406
Memory	2	44.3971631206
biker	4	43.547826087
Gossiping	28	40.9970596097
BB-Love	1	38.1707317073
OverWatch	2	29.5283018868
LGBT_SEX	1	28.9814814815
PingTung	2	28.3257918552
Contacts	1	26.0833333333
TaiwanDrama	4	20.626029654
Browsers	1	19.3209876543
BaseballNEWS	36	18.5205409403
Coffee	1	17.1978021978
Steam	2	16.8733153639
LicenseShop	1	15.8080808081
PuzzleDragon	1	14.6261682243
Keelung	1	13.6086956522
sex	4	13.2416710735
BlizzHeroes	1	11.5073529412
prozac	1	9.78125
EAseries	1	9.72049689441
talk	5	7.92806484296
HatePolitics	4	7.42586002372
HelpBuy	4	7.20990498128
Suckcomic	1	6.74568965517
AC_In	1	4.49712643678
Kaohsiung	2	3.89303482587
Tainan	2	3.41144414169
Test	2	2.82236248873
Salary	1	2.79464285714
Boy-Girl	1	2.21357850071
SEVENTEEN	1	2.13215258856
ask	1	1.77236693092
car	1	1.58400809717
TaichungBun	1	1.53431372549
C_Chat	2	1.41596923773
give	1	1.31512605042
Food	1	1.26107977438
AllTogether	1	0.922759433962
movie	1	0.59528337771
LoL	1	0.357469164002
forsale	2	0.327029568488
Elephants	1	0.131567885666
