board	degree	nordegree
Hunter	4	3.74850299401
C_Chat	6	3.66367538041
NTU	4	3.43956043956
movie	4	2.70644185041
Gossiping	11	2.64764687788
MenTalk	3	2.31966403162
PttNewhand	2	1.96115288221
LoL	3	1.94249069094
WOW	2	1.9226044226
AC_In	2	1.86198691255
Hearthstone	2	1.78449258837
Baseball	2	1.13078034682
WomenTalk	2	1.08379501385
ai-photo	1	0.994282083863
Reptile	1	0.989879822897
RO	1	0.98738170347
Little-Games	1	0.9861373661
Child_Psy	1	0.984896161108
Psychiatry	1	0.978125
TypeMoon	1	0.973258706468
PttLifeLaw	1	0.966646077826
prozac	1	0.956017104459
TY_Research	1	0.944477972239
historia	1	0.942203491872
CFantasy	1	0.941636582431
StupidClown	1	0.922759433962
BigBanciao	1	0.908299477655
CrossStrait	1	0.891230068337
Militarylife	1	0.881690140845
Beauty	1	0.875279642058
sex	1	0.781328007988
MobileComm	1	0.776674937965
Test	1	0.775520317146
HatePolitics	1	0.721198156682
