board	degree	nordegree
MeganLai	7	6.87264742785
RiverChen	7	6.80012414649
CN_Entertain	7	6.29236071223
BTOB	5	4.97457088366
VIXX	3	2.92341220423
BlockB	3	2.9197761194
YGFamily	3	2.88567916411
TWICE	3	2.83001808318
MAMAMOO	2	1.96484620213
SISTAR	2	1.96238244514
GirlsDay	2	1.95625
EXID	2	1.95502810743
JYPnation	2	1.95137157107
KR_Entertain	2	1.92024539877
APINK	2	1.91203420892
SecretGirls	1	0.9861373661
Rainbow	1	0.9861373661
KR_1N2D	1	0.9861373661
KARA	1	0.9861373661
JoonYoung	1	0.9861373661
BraveSound	1	0.9861373661
AfterSchool	1	0.985516372796
ZEA	1	0.984896161108
We2NE1	1	0.984896161108
NineMuses	1	0.981806775408
AOA	1	0.980576441103
JessicaJung	1	0.979962429555
FTV	1	0.979349186483
I.O.I	1	0.970843672457
SEVENTEEN	1	0.964858199753
KoreanPop	1	0.93544530783
TaiwanDrama	1	0.912004662005
