board	degree	nordegree
IELTS	8	2225.77777778
GMAT	4	1788.57142857
GRE	4	1669.33333333
Language	4	658.947368421
TOEIC	5	558.928571429
unemployed	4	532.765957447
sinica	1	195.625
Sub_GConsole	1	195.625
studyabroad	2	93.4328358209
Refresh	4	73.216374269
learnyf	4	69.3628808864
Deutsch	1	57.962962963
NewActivity	4	33.2978723404
HomeTeach	1	30.0961538462
OverWatch	2	29.5283018868
MAC	1	12.2265625
Chiayi	1	8.8418079096
Bus	1	5.49122807018
PC_Shopping	1	4.16223404255
Wanted	3	1.1242816092
Gossiping	2	0.209168671478
