Name	Degree	NorDegree
Rainbow	3	0.0664536741214
TaiwanDrama	136	0.77571884984
JoonYoung	3	0.0664536741214
I.O.I	8	0.129073482428
SuperJunior	14	0.361022364217
KoreanPop	80	0.57571884984
JYPnation	6	0.247923322684
KARA	3	0.0664536741214
APINK	75	0.418530351438
BlockB	14	0.194249201278
KR_1N2D	3	0.0664536741214
KoreaStar	2	0.112460063898
Test	3	1.41725239617
KR_Entertain	217	1.56869009585
GirlsDay	9	0.199361022364
WomenTalk	1	3.19616613419
SET	1	0.0191693290735
MAMAMOO	3	0.0964856230032
AOA	3	0.102875399361
movie	2	1.67987220447
BuyTogether	8	0.613418530351
LoL	1	2.79744408946
We2NE1	3	0.0683706070288
HK_Comics	1	0.0115015974441
Hearthstone	1	0.349520766773
BraveSound	3	0.0664536741214
NBA	1	1.9303514377
YGFamily	14	0.251757188498
Tech_Job	1	0.337380191693
FTV	16	0.111821086262
SISTAR	6	0.131629392971
Gossiping	1	19.1233226837
JessicaJung	4	0.0766773162939
SEVENTEEN	104	0.469009584665
ZEA	3	0.0683706070288
EXID	9	0.222364217252
AfterSchool	3	0.0683706070288
UTAH-JAZZ	1	0.00319488817891
VIXX	48	0.260063897764
NineMuses	3	0.0773162939297
Hate	3	11.3265175719
SecretGirls	3	0.0664536741214
