board	degree	nordegree
travel	38	26.1636603608
Miaoli	25	22.7735739232
Food	26	14.5010691376
Taipei	16	12.749490835
NTU	10	5.27646662171
N_E_Coastal	5	4.90903387704
Coffee	5	4.72524154589
Daan	5	4.46123147092
Post	5	4.36176142698
ShuangHe	5	4.10330361825
Tainan	7	3.22205882353
EatToDie	2	1.95258889582
Hotel	2	1.8433451119
PingTung	2	1.75251959686
BabyMother	2	1.48693586698
railtour	1	0.997450605481
museum	1	0.994914176732
Kaohsiung	2	0.986448156319
CAFENCAKE	1	0.983040201005
Snacks	1	0.981191222571
Taitung	1	0.97507788162
TuCheng	1	0.93824940048
Keelung	1	0.931547619048
BeautySalon	1	0.902017291066
e-shopping	1	0.845945945946
Neihu	1	0.753853564547
Hsinchu	1	0.702108568865
ask	1	0.639297385621
